"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Amikacin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Amikacin|Concentration in container [µmol/l]","Organism|Lumen|Amikacin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,87.28487,198.7925,0
0,6,154.6503,163.4469,0
0,9,128.0007,118.2834,0
0,12,108.4852,101.739,0
0,15,97.92123,93.11796,0
0,18,91.74007,87.67984,0
0,21,87.57816,83.7923,0
0,24,84.39674,80.73658,0
0,27,81.73355,78.15946,0
0,30,79.36711,75.87348,0
0,33,77.18778,73.77703,0
0,36,75.1382,71.8128,0
0,39,73.18523,69.94691,0
0,42,71.31041,68.15952,0
0,45,69.50234,66.43815,0
0,48,67.75356,64.77469,0
0,51,66.05915,63.16384,0
0,54,64.41576,61.60194,0
0,57,62.82075,60.08617,0
0,60,61.27206,58.61445,0
0,63,59.76744,57.1844,0
0,66,58.30528,55.7945,0
0,69,56.88393,54.44312,0
0,72,55.50206,53.12899,0
0,75,54.15852,51.85106,0
0,78,52.85216,50.60826,0
0,81,51.58183,49.39948,0
0,84,50.34632,48.22359,0
0,87,49.14447,47.0795,0
0,90,47.97519,45.96619,0
0,93,46.8375,44.88274,0
0,96,45.73047,43.82827,0
0,99,44.65318,42.80194,0
0,102,43.60466,41.80283,0
0,105,42.58412,40.83019,0
0,108,41.59074,39.88326,0
0,111,40.62358,38.96117,0
0,114,39.682,38.0633,0
0,117,38.76524,37.18893,0
0,120,37.87247,36.3373,0
0,135,33.74522,32.39831,0
0,150,30.12165,28.93716,0
0,165,26.93368,25.88966,0
0,180,24.12325,23.20105,0
0,195,21.64074,20.82443,0
0,210,19.44372,18.71968,0
0,225,17.49592,16.85246,0
0,240,15.76596,15.19306,0
0,255,14.227,13.71599,0
0,270,12.85586,12.39927,0
0,285,11.63263,11.22396,0
0,300,10.53969,10.17332,0
0,315,9.561639,9.232694,0
0,330,8.685209,8.389427,0
0,345,7.898928,7.632586,0
0,360,7.192727,6.952562,0
0,375,6.557703,6.340852,0
0,390,5.986016,5.789964,0
0,405,5.470796,5.293327,0
0,420,5.006006,4.845163,0
0,435,4.586305,4.440355,0
0,450,4.206982,4.074391,0
0,465,3.863794,3.743202,0
0,480,3.553011,3.443209,0
0,495,3.271297,3.171211,0
0,510,3.015723,2.924395,0
0,525,2.783677,2.70025,0
0,540,2.572819,2.496528,0
0,555,2.381056,2.311215,0
0,570,2.206499,2.142495,0
0,585,2.04747,1.988754,0
0,600,1.902466,1.848544,0
0,615,1.770141,1.720569,0
0,630,1.64929,1.603668,0
0,645,1.538825,1.496795,0
0,660,1.437775,1.399011,0
0,675,1.345248,1.309459,0
0,690,1.26047,1.227391,0
0,705,1.182697,1.152091,0
0,720,1.111289,1.08294,0
0,735,1.045665,1.019379,0
0,750,0.9853097,0.9609102,0
0,765,0.929754,0.9070809,0
0,780,0.8785742,0.8574818,0
0,795,0.831379,0.8117353,0
0,810,0.7878171,0.7695023,0
0,825,0.7475659,0.7304715,0
0,840,0.7103399,0.6943669,0
0,855,0.6758785,0.6609368,0
0,870,0.6439476,0.6299553,0
0,885,0.6143327,0.6012148,0
0,900,0.5868392,0.5745274,0
0,915,0.5612888,0.5497208,0
0,930,0.5375204,0.5266393,0
0,945,0.5153873,0.5051412,0
0,960,0.4947565,0.4850978,0
0,975,0.475507,0.4663921,0
0,990,0.4575286,0.4489176,0
0,1005,0.4407205,0.4325768,0
0,1020,0.4249909,0.4172809,0
0,1035,0.4102559,0.4029487,0
0,1050,0.3964381,0.3895054,0
0,1065,0.3834683,0.376884,0
0,1080,0.371281,0.3650212,0
0,1095,0.3598187,0.3538613,0
0,1110,0.3490268,0.3433515,0
0,1125,0.3388565,0.3334445,0
0,1140,0.3292628,0.3240967,0
0,1155,0.3202043,0.3152681,0
0,1170,0.3116431,0.306922,0
0,1185,0.3035441,0.2990245,0
0,1200,0.2958756,0.2915446,0
0,1215,0.2886075,0.2844534,0
0,1230,0.281713,0.2777249,0
0,1245,0.2751666,0.2713344,0
0,1260,0.2689453,0.2652595,0
0,1275,0.2630278,0.2594797,0
0,1290,0.2573942,0.2539757,0
0,1305,0.2520265,0.2487299,0
0,1320,0.2469076,0.2437259,0
0,1335,0.242022,0.2389486,0
0,1350,0.2373553,0.234384,0
0,1365,0.232894,0.230019,0
0,1380,0.2286256,0.2258417,0
0,1395,0.2245385,0.2218406,0
0,1410,0.2206221,0.2180055,0
0,1425,0.2168662,0.2143265,0
0,1440,0.2132617,0.2107947,0
