"IndividualId","Quantity Path","Parameter","Value","Unit"
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,5.23131513595581,µmol/l
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,5.92894458770752,µmol/l
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,4.35901784896851,µmol/l
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,5.22330093383789,µmol/l
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,22.7422847747803,µmol/l
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,24.2261695861816,µmol/l
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,5.9722375869751,µmol/l
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,6.03142404556274,µmol/l
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,9.38065147399902,µmol/l
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max,8.34491062164307,µmol/l
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,753671.646118164,mg/l
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,721068.143844604,mg/l
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,618187.010288239,mg/l
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,705739.319324493,mg/l
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,918036.937713623,mg/l
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,896004.319190979,mg/l
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,814476.311206818,mg/l
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,821100.175380707,mg/l
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,697598.278522491,mg/l
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,C_max_norm,672199.189662933,mg/l
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,t_max,0.25,h
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,t_max,0.3,h
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,t_max,0.2,h
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,t_max,0.25,h
