#Project: Theophylline
#PK-Sim version: 8.0.0
"IndividualId","Gender","RaceIndex","Population Name","Organism|Weight [kg]","Organism|BMI [kg/dm²]","Organism|Age [year(s)]","Organism|Gestational age [week(s)]","Organism|Height [dm]","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Hematocrit","Organism|VenousBlood|Volume [l]","Organism|ArterialBlood|Volume [l]","Organism|Bone|Specific blood flow rate [l/min/kg organ]","Organism|Bone|Volume [l]","Organism|Brain|Volume [l]","Organism|Brain|Specific blood flow rate [l/min/kg organ]","Organism|Fat|Volume [l]","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate [l/min/kg organ]","Organism|Gonads|Volume [l]","Organism|Gonads|Specific blood flow rate [l/min/kg organ]","Organism|Heart|Volume [l]","Organism|Heart|Specific blood flow rate [l/min/kg organ]","Organism|Kidney|Volume [l]","Organism|Kidney|Age of aging onset [year(s)]","Organism|Kidney|Aging half-time [year(s)]","Organism|Kidney|GFRmat [l/min]","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR [week(s)]","Organism|Kidney|Specific blood flow rate [l/min/kg organ]","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius [dm]","Organism|Lumen|Stomach|Gastric emptying time [min]","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length [dm]","Organism|Lumen|Stomach|Proximal radius [dm]","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume [l]","Organism|Stomach|Specific blood flow rate [l/min/kg organ]","Organism|SmallIntestine|Small intestinal transit time [min]","Organism|SmallIntestine|Volume [l]","Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ]","Organism|LargeIntestine|Large intestinal transit time [min]","Organism|LargeIntestine|Volume [l]","Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ]","Organism|Liver|Volume [l]","Organism|Liver|Specific blood flow rate [l/min/kg organ]","Organism|Lung|Volume [l]","Organism|Lung|Fraction vascular","Organism|Muscle|Volume [l]","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate [l/min/kg organ]","Organism|Pancreas|Volume [l]","Organism|Pancreas|Specific blood flow rate [l/min/kg organ]","Organism|PortalVein|Volume [l]","Organism|Skin|Volume [l]","Organism|Skin|Specific blood flow rate [l/min/kg organ]","Organism|Spleen|Volume [l]","Organism|Spleen|Specific blood flow rate [l/min/kg organ]","CYP1A2|Ontogeny factor","CYP1A2|Ontogeny factor GI","CYP1A2|Reference concentration [µmol/l]","CYP1A2|t1/2 (liver) [min]"
0,1,0,POP_10,79.962948823832,0.269079769869594,23.8272357843012,40,17.2386747974166,0.913558902417414,1.37472087670471,0.449424119281004,0.953168625848135,0.389367428059161,0.0313419892459514,10.6954905504219,1.4286493473269,0.561403301585104,26.370533496164,0.771193766993405,0.761553844905988,0.00192798441748351,0.184691056862795,0.178806233006595,0.214567479607913,0.822285354056719,0.886872832042416,0.00154238753398681,0.00195112023049332,0.160925609705935,0.0107283739803957,0.0357612466013189,0.0232877977483374,0.0308435461645496,0.124997053413374,0.291130065587029,0.685594348842742,0.254359593033141,30,54,0.108467893493069,1.5,14.6302994976804,0.9,45.0045687972783,3.73152252217715,0.649061620567513,0.489477494600305,15.1356150573772,1.15815305136126,1.1443419743397,1.95790174804893,0.489477494600305,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.169122317374077,0.430274960939305,79.134417962847,0.585919932342615,0.989968706651914,2591.50691068615,0.460688912756931,0.672288221919896,1.62522499212291,0.198488700425852,1.93278657096484,0.58,29.5980856321666,0.013,0.0238,0.0072,0.177,0.811,0.76,0.168230352287598,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0331370691588474,0.0877120185174775,0.383799699320498,1.04454613777914,3.65489028470689,0.0997619165528782,0.390429372495788,0.865050071197135,0.679783098922626,0.807056413623974,1.8,724.967826095116
1,1,0,POP_10,67.5019685476346,0.255675746153952,84.7651621255861,40,16.2485066732744,0.990221341095475,1.24359042721023,0.47,0.78359545384429,0.38477688481793,0.0288079276559549,9.22648236231174,1.27042549152262,0.478340326044834,21.9532826287519,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0226274990764497,0.0301277038980192,0.0765685345690373,0.456758398925353,0.765396618056513,0.396249091075162,30,54,0.0774130951020379,1.5,15.1140763923803,0.9,44.7080970364169,1.38597177931908,0.820695249589334,0.5,6.85466180880916,0.848016227932604,0.880150205133467,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.162634073226208,0.184961899143289,71.8765900066717,0.574029874945449,0.421403605119677,2652,0.441799245465906,0.29528249410132,1.44206536849038,0.134564442915713,1.29309264036439,0.58,24.2506290476447,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0337951611843297,0.220395528718343,0.217682292613381,0.79904567882435,3.72483395929951,0.0834175963522631,0.0917451155082618,0.636952082025044,0.636003812628041,0.97562255203974,1.8,2369.07212386425
2,1,0,POP_10,78.713411920143,0.245864580413979,95.7408782074884,40,17.8927207830626,0.933003188416075,2.46354609101716,0.47,0.834677956141849,0.368726097597605,0.0257933728004253,10.6462715582668,1.39420943681773,0.418872680302513,24.1113439087861,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0220244316071836,0.0299381913074599,0.0757855258485431,0.479988611880381,0.773648752084141,0.207260257407246,30,54,0.0935717811850884,1.5,15.2418850108325,0.9,43.0141443648411,0.979424923915694,0.528032126451453,0.5,9.31633107230793,0.938402900939911,0.997391608431586,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.173114255327979,0.134048600173332,194.950136298652,0.765794636455816,0.341944568854474,2652,0.534333144162022,0.228562694909379,2.20494713709368,0.120640129824371,1.13840867727356,0.58,30.7483492128558,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0337601616066749,0.161948560368993,0.168293405166107,0.807694443944916,3.99229590914809,0.0831693931606114,0.114109925306925,0.597333596688143,3.01000711470009,1.24205756824667,1.8,1400.61884732982
3,1,0,POP_10,74.9923222364185,0.239857860683978,37.9444912252689,40,17.6820015063798,0.971401338008955,0.762064753083183,0.47,1.05516193196959,0.39919331717404,0.0289901797582092,12.0197371281498,1.45016059881144,0.496181321654922,15.3786368020118,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0205110989799304,0.0404268223526341,0.0876429113126702,0.483789330012881,0.593183524868669,0.245659436382932,30,54,0.0663676399307062,1.5,14.9109277913869,0.9,44.6290227609722,2.85304902786816,0.967029653319041,0.5,14.8724116171324,1.38154845736835,0.751705657260723,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.165450159038842,0.391883738863105,93.5254212364005,0.850174507447784,0.960949403059905,2652,0.374637003106889,0.681672344642882,1.67373940324437,0.175808690572783,2.04104994873787,0.58,33.5476370643842,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0323943114611086,0.240278864146744,0.352161133848067,0.916401836368938,3.87301459899595,0.0817469371480514,0.237173484081689,0.951155859733239,0.988266387301222,2.11015101908458,1.8,1889.02051084091
4,1,0,POP_10,22.4049299486334,0.213550538405947,5.22719011885449,40,10.2428652604169,0.945125292800788,1.33191664081175,0.37,0.249840096380608,0.107561322811598,0.0616574769167603,2.57553221252204,1.3049398258547,0.674397669988963,9.8416704826596,0.605452562852508,0.597884405816851,0.00151363140713127,0.344547437147492,0.344547437142719,0.413456924571263,0.645563795141486,0.696270447280384,0.00121090512570502,0.00153179498401684,0.310092693428448,0.0206728462285632,0.0689094874285439,0.0302897379438677,0.00198096729148879,0.790092062826518,0.104281688690351,1.20284886876587,0.15656612578003,30,54,0.134879841405607,1.5,14.7750636246855,0.9,45.0717430895929,3.59127719928835,1.85463669776899,0.313403638778484,11.5291710090103,0.527023267769868,1.06817941301197,1.25357637263489,0.313403638778484,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0666345660668223,0.565669100060558,207.929100325127,0.245860879736494,1.31904531521714,2505,0.085536023015119,1.0469492991527,1.27740532845078,0.318520406120756,0.246623974133223,0.58,5.04514221895164,0.013,0.0238,0.0072,0.177,0.811,0.76,0.278182479049164,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0342408084560082,0.0392462216257365,0.738418913335578,0.278006333030048,0.682177011019032,0.267920183966489,0.0959246706140554,1.21049487308156,1.34354071357452,0.860423477491623,1.8,6276.17680691898
5,2,0,POP_10,20.5278219079816,0.176756624650991,4.42431462203353,40,10.7766452248606,1.04039903556299,0.884320453105881,0.37,0.244259197623856,0.104369056517988,0.0591674199622988,2.80294400658989,1.19816824032249,0.763759490355369,7.14685752988186,0.6,0.5925,0.0015,0.35,0.34999999999928,0.419999999999137,0.63975,0.69,0.0012,0.001518,0.314999999999352,0.0209999999999568,0.0699999999998561,0.0296214007214442,0.00235216936381831,0.267614932482692,0.116029908032183,1.0976321282886,0.129842946909376,30,59,0.122896920512683,1.5,14.9023649375424,0.9,43.455500639413,3.01300175770696,1.39283636856204,0.319790842297114,5.55659617280653,2.04184086722135,1.24843643602598,1.27912912604223,0.319790842297114,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0727001765571526,0.570981890783387,83.0074380941201,0.24582901855779,1.47583497656131,2483.69964101524,0.101918923776961,1.01628160739651,1.00484753671236,0.255493187752988,0.392366581380177,0.53,5.91136701310979,0.013,0.0238,0.0072,0.187886358108981,0.812440990191837,0.76135037305277,0.285756853779665,0.022,0.0049,0.0078,0.0042,0.0791403677252221,0.201685921133935,0.667183353227822,0.76135037305277,0.0335642168966968,0.0607612154702155,0.606838427783746,0.283046096573288,0.641460644161047,0.229386010653654,0.0687016464413755,1.08306164198486,0.833494085052656,0.806581062179933,1.8,2882.57669057348
6,2,0,POP_10,75.6935524649648,0.315591715825871,51.7855669147268,40,15.4869767639191,0.993185415268418,1.52391509833849,0.41,0.753625414018551,0.334156713205071,0.0337614929567811,8.14652228566218,1.25684560728359,0.509831043921947,40.6969440811502,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0267641370870919,0.00677122258351544,0.0937032986697705,0.464213509802399,0.879570348724126,0.421006073941316,30,59,0.0852860965234919,1.5,14.6308736722434,0.9,44.8138263238089,2.3479090346926,0.784569089721409,0.5,16.0049105151895,1.17545792415225,1.1745606860402,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.194276794863345,0.318378946066422,98.6133046894778,0.669161830287132,0.927738120746592,2652,0.395902184484384,0.680059530537235,1.1210903813751,0.202340786618669,0.852437662036655,0.53,16.0634171285393,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0319646343652316,0.160189254424873,0.328187002679341,0.688122914835872,3.15458986056534,0.106757359554123,0.314279545905895,0.918122585963723,0.865140913905647,0.973281549691433,1.8,4009.85651909301
7,2,0,POP_10,75.5603214450081,0.336855190546621,72.3508317826087,40,14.9770154067937,0.918242912318785,1.20189083312412,0.41,0.67527313327707,0.319888643447479,0.0324105040845574,7.1307099911038,1.19983370467625,0.476767241048525,44.4211587968149,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0259007748235858,0.0049503581657558,0.0834391449964027,0.434969717801479,0.965871509251427,0.0893785793719711,30,59,0.140577232396725,1.5,15.283060260724,0.9,44.7345183700413,2.05525848269802,1.76471903633393,0.5,17.367313678892,0.75219267938426,1.18927844892626,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.186909746682206,0.255308946405913,157.136903387254,0.554125045614704,0.625288422932727,2652,0.353738021866855,0.429798919630299,1.03827873771,0.15662607580657,0.939145998437621,0.53,14.2497064708412,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0302970881814283,0.189960818938055,0.27624897149103,0.767486029011702,2.84433780829966,0.101478198887774,0.160469842947369,0.716851326182416,1.06177479917168,0.959871552981658,1.8,2683.12324695249
8,2,0,POP_10,41.2752684721559,0.205401666281974,88.1028431877973,40,14.1756496847359,1.04512192258219,1.05172675698054,0.41,0.670800415419888,0.277961757882681,0.0315528673594564,5.92934127684898,1.11500886955318,0.445402272698771,15.9498328307599,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0249416803269492,0.0051243911482648,0.0922099509373551,0.439753563631206,1.08433426692096,0.301517419222117,30,59,0.130961663429982,1.5,15.1815375504847,0.9,43.892879995401,1.61143903221101,1.52751568582112,0.5,14.291250289949,2.28834332455052,0.79188514527288,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.150763170649559,0.187171936682811,285.262365735307,0.631102743256999,0.516668699885379,2652,0.454476985126127,0.420343420106194,1.23054655797645,0.163505256698811,0.650697022288659,0.53,10.653204954319,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.030869074690979,0.104391661746514,0.259434436216752,0.68282937818663,1.85479111069141,0.105271331901918,0.173124363448328,0.985817590271179,2.04081232119596,1.90890582719754,1.8,1569.31215685647
9,2,0,POP_10,44.7088833818369,0.16789488631469,17.3510467248741,40,16.318422652528,0.927828926066409,0.736797209086858,0.41,0.59765401013385,0.2589967937539,0.0339504857115097,8.59157825681301,1.3636745622322,0.545623842397153,8.22114264798078,0.740971551382746,0.731709406990462,0.00185242887845686,0.210595813100504,0.209028448617254,0.250834138340705,0.790060916661853,0.852117284090158,0.00148194310276549,0.00187465802499835,0.188125603755529,0.0125417069170353,0.0418056897234508,0.0296454112393868,0.00841605579516013,0.158047048631048,0.282946059698476,1.02052130013792,0.209551166324802,30,59,0.131142614161852,1.5,14.8927849634835,0.9,44.6200887778289,2.85576411005573,0.624102289967723,0.494830794428232,19.1139351574284,1.00185029899241,0.612560248331181,1.97934004298396,0.494830794428232,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.119617193656161,0.416206201992675,70.1979135280512,0.601298098586662,1.12656793798405,2528.04025790377,0.394431777587629,0.847881618422668,1.76843624553625,0.210081839828975,0.718285567184538,0.53,18.779045778153,0.013,0.0238,0.0072,0.177,0.811,0.76,0.176865271033501,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0356703587919193,0.116363762227025,0.42388038489139,0.692881739501779,1.8087875173032,0.132842470616848,0.175776149368487,0.797873288218758,1.63652919476747,0.499541362895078,1.8,2119.94544673201
