"IndividualId","Time [min]","Organism|Bone|Intracellular|Theophylline|Concentration in container [µmol/l]","Organism|Brain|Interstitial|Theophylline|Concentration in container [µmol/l]"
0,0,0,0
0,3,2.034501,35.89288
0,6,4.286134,20.5868
0,9,4.974584,15.09216
0,12,5.20566,12.22814
0,15,5.231315,10.87088
0,18,5.1733,10.20767
0,21,5.08624,9.872375
0,24,4.994186,9.693776
0,27,4.907081,9.590726
0,30,4.828431,9.524377
0,33,4.75887,9.476195
0,36,4.697848,9.437154
0,39,4.644399,9.402864
0,42,4.597461,9.371195
0,45,4.556038,9.341091
0,48,4.519256,9.311939
0,51,4.486361,9.283408
0,54,4.456706,9.255356
0,57,4.429748,9.227699
0,60,4.40504,9.200353
0,63,4.38221,9.173252
0,66,4.360947,9.14636
0,69,4.340992,9.119658
0,72,4.322128,9.093123
0,75,4.304179,9.066738
0,78,4.286996,9.040482
0,81,4.270459,9.014338
0,84,4.254464,8.988294
0,87,4.238925,8.962344
0,90,4.22377,8.936481
0,93,4.208927,8.910695
0,96,4.194366,8.884989
0,99,4.180067,8.859366
0,102,4.165933,8.833803
0,105,4.151988,8.808311
0,108,4.138233,8.782895
0,111,4.124618,8.757545
0,114,4.111115,8.732256
0,117,4.097747,8.707031
0,120,4.084504,8.681871
0,135,4.019518,8.556949
0,150,3.956142,8.433467
0,165,3.893999,8.311419
0,180,3.832999,8.190811
0,195,3.773121,8.071651
0,210,3.714319,7.953941
0,225,3.656533,7.837683
0,240,3.599734,7.722878
0,255,3.543893,7.609529
0,270,3.488997,7.497634
0,285,3.435022,7.387191
0,300,3.381953,7.278196
0,315,3.329769,7.170642
0,330,3.278451,7.064525
0,345,3.22798,6.959837
0,360,3.178336,6.856568
0,375,3.129503,6.754711
0,390,3.081462,6.654253
0,405,3.034199,6.555186
0,420,2.987698,6.457497
0,435,2.941943,6.361175
0,450,2.896922,6.266207
0,465,2.852619,6.172581
0,480,2.809021,6.080283
0,495,2.766115,5.989299
0,510,2.723888,5.899616
0,525,2.682328,5.811222
0,540,2.641421,5.724099
0,555,2.601158,5.638234
0,570,2.561525,5.553612
0,585,2.522513,5.470219
0,600,2.484109,5.38804
0,615,2.446304,5.307059
0,630,2.409087,5.227262
0,645,2.372448,5.148635
0,660,2.336377,5.071162
0,675,2.300865,4.994829
0,690,2.265902,4.919621
0,705,2.231479,4.845522
0,720,2.197587,4.772519
0,735,2.164217,4.700598
0,750,2.131361,4.629743
0,765,2.09901,4.559939
0,780,2.067156,4.491173
0,795,2.035791,4.42343
0,810,2.004906,4.356697
0,825,1.974495,4.290958
0,840,1.944549,4.2262
0,855,1.915061,4.162409
0,870,1.886024,4.099572
0,885,1.857431,4.037674
0,900,1.829274,3.976703
0,915,1.801547,3.916645
0,930,1.774244,3.857487
0,945,1.747356,3.799216
0,960,1.720879,3.741819
0,975,1.694804,3.685284
0,990,1.669127,3.629598
0,1005,1.643841,3.574749
0,1020,1.61894,3.520724
0,1035,1.594417,3.467511
0,1050,1.570267,3.415099
0,1065,1.546484,3.363476
0,1080,1.523063,3.31263
0,1095,1.499998,3.26255
0,1110,1.477283,3.213224
0,1125,1.454913,3.164641
0,1140,1.432882,3.11679
0,1155,1.411186,3.069661
0,1170,1.38982,3.023242
0,1185,1.368777,2.977524
0,1200,1.348054,2.932495
0,1215,1.327645,2.888145
0,1230,1.307546,2.844465
0,1245,1.287752,2.801444
0,1260,1.268258,2.759072
0,1275,1.249059,2.71734
0,1290,1.230152,2.676238
0,1305,1.211531,2.635757
0,1320,1.193192,2.595887
0,1335,1.175131,2.556619
0,1350,1.157344,2.517945
0,1365,1.139826,2.479855
0,1380,1.122574,2.44234
0,1395,1.105583,2.405392
0,1410,1.08885,2.369003
0,1425,1.07237,2.333163
0,1440,1.05614,2.297866
1,0,0,0
1,3,2.49517,47.60639
1,6,5.057641,21.94583
1,9,5.599723,16.21157
1,12,5.839708,14.41093
