"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0.7233178,0.003079473,0.0001229922,1.923956E-05,1.260716,0.009626023,0.0003995592,0.0001073858,0,0,0,0
0,12,1.081164,0.02161929,0.0008164577,0.0001976808,1.538529,0.04008142,0.001546497,0.0005434713,0,0,0,0
0,18,1.316567,0.05440509,0.001927017,0.0005485744,1.747719,0.08197826,0.002976997,0.001149252,0,0,0,0
0,24,1.503641,0.09530898,0.003223222,0.0009868818,1.926408,0.1288822,0.004484281,0.001804858,0,0,0,0
0,30,1.66427,0.139961,0.004577979,0.001449437,2.085753,0.1774204,0.005983187,0.002451883,0,0,0,0
0,36,1.80747,0.1858166,0.005928036,0.001902652,2.230716,0.2258414,0.007436594,0.003064284,0,0,0,0
0,42,1.937768,0.231446,0.007245735,0.002331242,2.364054,0.273209,0.008833737,0.003632208,0,0,0,0
0,48,2.05774,0.2760464,0.008511201,0.002730242,2.487534,0.3190184,0.01016185,0.004154666,0,0,0,0
0,54,2.169025,0.3191735,0.009718824,0.003099243,2.602417,0.363007,0.01142279,0.004633601,0,0,0,0
0,60,2.272773,0.3605949,0.01087364,0.003439597,2.709682,0.4050577,0.01262371,0.005072293,0,0,0,0
0,66,1.644835,0.399902,0.01197218,0.003755779,1.543545,0.4440864,0.0137521,0.005485268,0,0,0,0
0,72,1.367854,0.4348992,0.01297212,0.004064887,1.341334,0.4769225,0.01473045,0.005904477,0,0,0,0
0,78,1.200698,0.4637792,0.01381698,0.00438163,1.196635,0.5026197,0.01550709,0.006339905,0,0,0,0
0,84,1.074121,0.4861264,0.01448039,0.004709075,1.07697,0.5214267,0.01607509,0.006786515,0,0,0,0
