"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0.7233178,0.003079473,0.0001229922,1.923956E-05,1.260716,0.009626023,0.0003995592,0.0001073858,0,0,0,0
0,12,1.081164,0.02161929,0.0008164576,0.0001976808,1.538529,0.04008142,0.001546497,0.0005434711,0,0,0,0
0,18,1.316567,0.05440509,0.001927017,0.0005485744,1.747719,0.08197826,0.002976997,0.001149252,0,0,0,0
0,24,1.503642,0.095309,0.003223222,0.0009868821,1.926409,0.1288822,0.004484281,0.001804858,0,0,0,0
0,30,1.66427,0.139961,0.004577978,0.001449437,2.085753,0.1774205,0.005983192,0.002451882,0,0,0,0
0,36,1.80747,0.1858166,0.005928044,0.001902652,2.230716,0.2258414,0.007436535,0.003064289,0,0,0,0
0,42,1.937768,0.231446,0.007245736,0.002331244,2.364054,0.273209,0.008834019,0.003632186,0,0,0,0
0,48,2.05774,0.2760465,0.008511146,0.002730244,2.487534,0.3190184,0.01016248,0.004154603,0,0,0,0
0,54,2.169025,0.3191734,0.009718331,0.003099281,2.602417,0.3630069,0.01142071,0.004633773,0,0,0,0
0,60,2.272773,0.360595,0.01087494,0.003439511,2.709682,0.4050578,0.01262379,0.005072205,0,0,0,0
0,66,2.369865,0.4002087,0.01197538,0.003753743,2.810136,0.4451424,0.01376452,0.005474911,0,0,0,0
0,72,2.461018,0.4379922,0.01302074,0.004044785,2.904466,0.4832871,0.01484449,0.005845894,0,0,0,0
0,78,2.546836,0.4739739,0.01401315,0.004315295,2.99327,0.5195537,0.01586805,0.006188811,0,0,0,0
0,84,2.627846,0.5082121,0.01495551,0.004567654,3.077077,0.5540237,0.01683871,0.006506938,0,0,0,0
