"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0.00049618,5.835444E-06,2.15797E-07,1.727978E-08,0.002868613,6.108771E-05,2.484975E-06,3.984428E-07,0.0448095,0,0,0
0,6,0.004683762,0.0002235921,9.78652E-06,1.448977E-06,0.01300959,0.0009459298,4.355468E-05,1.159976E-05,0.1069363,0,0,0
0,9,0.01473311,0.001298141,5.784662E-05,1.223244E-05,0.02964411,0.003649921,0.0001684342,5.836801E-05,0.1720457,0,0,0
0,12,0.03077085,0.003861228,0.0001688389,4.46134E-05,0.05209912,0.008558416,0.000384222,0.000155207,0.2411018,0,0,0
0,15,0.05243359,0.008274386,0.0003505991,0.0001069307,0.08005141,0.01575179,0.000682189,0.000301844,0.3140673,0,0,0
0,18,0.0793732,0.01470091,0.0006016229,0.0002012957,0.1132652,0.02521101,0.001052723,0.0004914631,0.3901051,0,0,0
0,21,0.1112792,0.02318319,0.0009170768,0.0003254884,0.151472,0.036846,0.001487084,0.0007156598,0.4679933,0,0,0
0,24,0.1478159,0.03367602,0.001290943,0.0004751593,0.1943044,0.05049972,0.001976767,0.0009662463,0.5463945,0,0,0
0,27,0.1885757,0.04606359,0.001716546,0.0006452536,0.2412767,0.06596166,0.002513104,0.001235841,0.6240243,0,0,0
0,30,0.2330631,0.06017613,0.002186759,0.0008307855,0.291795,0.08298782,0.003087533,0.00151804,0.699749,0,0,0
0,33,0.2807017,0.07580778,0.002694331,0.001027214,0.3451835,0.1013206,0.003691737,0.001807473,0.7726349,0,0,0
0,36,0.3308558,0.092734,0.003231867,0.001230605,0.4007185,0.1207048,0.004317271,0.002099815,0.8419597,0,0,0
0,39,0.3828565,0.1107261,0.003792437,0.001437668,0.4576601,0.1408986,0.004958388,0.002391477,0.9072068,0,0,0
0,42,0.435822,0.1295622,0.004370011,0.001645722,0.5137373,0.1616766,0.005607526,0.002679977,0.9378718,0,0,0
0,45,0.4866971,0.1490104,0.004957942,0.00185282,0.5638247,0.1827316,0.006257558,0.002964025,0.9491566,0,0,0
0,48,0.5329034,0.1687664,0.005548696,0.002057848,0.6081758,0.2036625,0.006897909,0.003243385,0.9583874,0,0,0
0,51,0.5739414,0.1885117,0.006133979,0.0022602,0.6471339,0.2241841,0.007520478,0.003517559,0.9659398,0,0,0
0,54,0.6100233,0.207992,0.006707108,0.002459399,0.6811607,0.244125,0.008120799,0.00378598,0.9721199,0,0,0
0,57,0.6415584,0.2270283,0.007263602,0.002655027,0.7107302,0.2633859,0.008696803,0.004048183,0.9771776,0,0,0
0,60,0.668978,0.2455019,0.007800755,0.002846743,0.7362793,0.2819097,0.009247716,0.004303856,0.9813175,0,0,0
0,63,0.692683,0.2633375,0.008317107,0.0030343,0.7581972,0.299666,0.009773458,0.004552836,0.9847062,0,0,0
0,66,0.7130331,0.2804887,0.008811949,0.003217544,0.7768289,0.31664,0.01027428,0.004795071,0.98748,0,0,0
0,69,0.7303491,0.296928,0.009285019,0.0033964,0.7924821,0.3328274,0.0107506,0.005030596,0.9897504,0,0,0
0,72,0.7449165,0.3126413,0.009736342,0.003570854,0.8054315,0.3482311,0.01120292,0.005259499,0.9916092,0,0,0
0,75,0.7569905,0.3276243,0.01016613,0.003740941,0.8159234,0.3628592,0.01163177,0.00548191,0.9931309,0,0,0
0,78,0.7667992,0.3418792,0.01057468,0.003906723,0.8241796,0.3767231,0.01203773,0.005697977,0.9943764,0,0,0
0,81,0.7745482,0.3554128,0.01096239,0.004068284,0.8304011,0.3898371,0.01242137,0.005907855,0.9953959,0,0,0
0,84,0.7804236,0.3682353,0.01132968,0.004225715,0.8347704,0.402217,0.01278326,0.006111697,0.9962306,0,0,0
0,87,0.7845936,0.3803598,0.01167699,0.004379109,0.8374534,0.4138803,0.01312399,0.006309655,0.996914,0,0,0
0,90,0.7872112,0.3918009,0.01200481,0.004528562,0.8386015,0.4248456,0.01344414,0.00650187,0.9974734,0,0,0
0,93,0.7884159,0.402575,0.01231362,0.004674161,0.8383535,0.4351317,0.01374428,0.006688474,0.9979314,0,0,0
0,96,0.7883353,0.4126991,0.01260391,0.00481599,0.8368363,0.4447582,0.01402499,0.006869585,0.9983064,0,0,0
