"ParameterPath","Value","Formula","RHSFormula"
po 100 mg QD (vanPeer 89) caps fed|Organism|SA proportionality factor,9500,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Specific clearance (endosome),0.2052,K_uptake-K_rec>=0 ? K_uptake-K_rec : 0,
po 100 mg QD (vanPeer 89) caps fed|Organism|Surface area scaling exponent,1,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Volume (plasma),2.94986852810143,V_pls_art+V_pls_bon+V_pls_brn+V_pls_cae+V_pls_colasc+V_pls_coldesc+V_pls_colsigm+V_pls_coltrans+V_pls_duo+V_pls_fat+V_pls_tes+V_pls_hrt+V_pls_kid+V_pls_lin+V_pls_lil+V_pls_lje+V_pls_lng+V_pls_mus+V_pls_pan+V_pls_prc+V_pls_prp+V_pls_pve+V_pls_rect+V_pls_skn+V_pls_sin+V_pls_spl+V_pls_sto+V_pls_uil+V_pls_uje+V_pls_ven,
po 100 mg QD (vanPeer 89) caps fed|Organism|Weight,73.0000004444493,Weight_blood + Weight_tissue,
po 100 mg QD (vanPeer 89) caps fed|Organism|Weight of blood organs,2.42053716877759,P_1 + P_2 + P_3,
po 100 mg QD (vanPeer 89) caps fed|Organism|Weight of tissue organs,70.5794632756717,P_1 + P_2 + P_3 + P_4 + P_5 + P_6 + P_7 + P_8 + P_9 + P_10 + P_11 + P_12 + P_13 + P_14 + P_15 + P_16,
po 100 mg QD (vanPeer 89) caps fed|Organism|Estimated gestational age,1605.35714285714,Age* 365.25/7 + GA,
po 100 mg QD (vanPeer 89) caps fed|Organism|BMI,0.235666323748868,Height>0 ? BW / (Height)^2 : 0,
po 100 mg QD (vanPeer 89) caps fed|Organism|BSA,188.918809746449,1.6667 * W^0.5 * (H*10)^ 0.5,
po 100 mg QD (vanPeer 89) caps fed|Organism|pH (blood cells),7.22,,
po 100 mg QD (vanPeer 89) caps fed|Organism|pH (interstitial),7.4,,
po 100 mg QD (vanPeer 89) caps fed|Organism|pH (intracellular),7,,
po 100 mg QD (vanPeer 89) caps fed|Organism|pH (plasma),7.4,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Scaling exponent for fluid recirculation flow rate,0.667,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Thickness (endothelium),3E-06,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Na,6.022E+17,,
po 100 mg QD (vanPeer 89) caps fed|Organism|R*T,928.8,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Age,30,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Gestational age,40,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Fraction endosomal (global),0.2,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Protein ratio (interstial/plasma),0.37,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (lipid, blood cells),0.005,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (lipid, plasma),0.007,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (neutral lipid, blood cells)-WS,0.003,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (neutral lipid, plasma)-RR,0.0032,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (protein,blood cells),0.325,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (protein,plasma),0.067,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (water,blood cells),0.625,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (water,interstitial),0.935,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (water,plasma),0.926,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Surface/Volume ratio (blood cells),167000,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (neutral lipid, plasma)-PT,0.0035,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (neutral phospholipid, blood cells)-WS,0.0059,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (neutral phospholipid, plasma)-RR,0.0021,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Fraction of endosomal uptake from plasma (global),1,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Height,17.6,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Ontogeny factor (albumin),1,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Ontogeny factor (alpha1-acid glycoprotein),1,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Plasma protein scale factor,1,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (acidic phospholipids, blood cells)-WS,0.001,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (neutral lipid, blood cells)-RR,0.0012,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (phospholipid, plasma)-PT,0.00225,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (neutral phospholipid, blood cells)-RR,0.0033,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (water,plasma)-PT,0.945,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Fraction recycled to plasma (global),1,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Acidic phospholipids (blood cells) [mg/g] - RR,0.57,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Vf (intracellular water, blood cells)-RR,0.63,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Rate constant for endosomal uptake (global),0.294,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Rate constant for recycling from endosomal space (global),0.0888,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Hematocrit,0.47,,
po 100 mg QD (vanPeer 89) caps fed|Organism|MeanBW,73,,
po 100 mg QD (vanPeer 89) caps fed|Organism|MeanHeight,17.6,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Hematocrit|Percentile,0.5,,
po 100 mg QD (vanPeer 89) caps fed|Organism|Hematocrit|Mean,0.47,,
po 100 mg QD (vanPeer 89) caps fed|Organism|MeanBW|Percentile,0.5,,
po 100 mg QD (vanPeer 89) caps fed|Organism|MeanBW|Mean,73,,
po 100 mg QD (vanPeer 89) caps fed|Organism|MeanBW|Deviation,3.65,,
po 100 mg QD (vanPeer 89) caps fed|Organism|MeanHeight|Percentile,0.5,,
po 100 mg QD (vanPeer 89) caps fed|Organism|MeanHeight|Mean,17.6,,
po 100 mg QD (vanPeer 89) caps fed|Organism|MeanHeight|Deviation,0.88,,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Weight (tissue),0.964012058164037,Volume * Density,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Density (tissue),1,,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Allometric scale factor,0.75,,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Fraction vascular,1,,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Volume,0.964012058164037,,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Volume|Percentile,0.501054043959735,,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Volume|Mean,0.963884723,,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Volume|Deviation,0.048194236,,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|Volume of protein container,0.51092639082694,Volume,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|Volume,0.51092639082694,(1-HCT)*V,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|CYP3A4|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|CYP3A4|Relative expression,0,rel_exp_pls,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|CYP3A4|Relative expression (normalized),0,rel_exp_pls_norm,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|CYP3A4|Relative expression out.,0,rel_exp_norm,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|CYP3A4|Start amount,0,rel_exp_out * AF * f_onto * ProteinContainerVolume,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|CYP3A4|Concentration,0,V>0 ? M/V : 0,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|CYP3A4|Ontogeny factor,1,f_onto,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|CYP3A4|t1/2,2160,tHalf,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|AADAC|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|AADAC|Relative expression,3.9102564103E-05,rel_exp_pls,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|AADAC|Relative expression (normalized),3.9102564103E-05,rel_exp_pls_norm,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|AADAC|Relative expression out.,3.9102564103E-05,rel_exp_norm,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|AADAC|Start amount,1.99785319492248E-05,rel_exp_out * AF * f_onto * ProteinContainerVolume,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|AADAC|Concentration,3.9102564103E-05,V>0 ? M/V : 0,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|AADAC|Ontogeny factor,1,f_onto,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|AADAC|t1/2,2160,tHalf,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|ATP1A2|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
po 100 mg QD (vanPeer 89) caps fed|Organism|VenousBlood|Plasma|ATP1A2|Relative expression,0,rel_exp_pls,
