"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0.0004966862,5.842606E-06,2.160722E-07,1.730345E-08,0.002872005,6.115306E-05,2.487706E-06,3.989107E-07,0.04489923,0,0,0
0,6,0.00469222,0.0002239189,9.800317E-06,1.450776E-06,0.01303216,0.0009475215,4.362566E-05,1.161611E-05,0.10707,0,0,0
0,9,0.01475449,0.001300271,5.793908E-05,1.225083E-05,0.02967913,0.003655535,0.0001686857,5.845224E-05,0.1721775,0,0,0
0,12,0.03080467,0.003866508,0.0001690597,4.467258E-05,0.0521474,0.008568626,0.0003846563,0.0001553844,0.2412665,0,0,0
0,15,0.05248133,0.008283583,0.0003509646,0.0001070448,0.08011758,0.01576705,0.0006828004,0.0003021143,0.3142842,0,0,0
0,18,0.07943848,0.01471471,0.0006021429,0.0002014703,0.1133542,0.02523218,0.001053524,0.0004918181,0.3903708,0,0,0
0,21,0.1113657,0.02320248,0.0009177707,0.0003257232,0.1515861,0.03687399,0.001488101,0.0007160942,0.4682868,0,0,0
0,24,0.1479251,0.03370148,0.001291822,0.0004754502,0.1944419,0.05053503,0.001977992,0.0009667517,0.5466871,0,0,0
0,27,0.1887056,0.04609562,0.001717623,0.0006455965,0.2414324,0.06600405,0.002514568,0.001236406,0.6242891,0,0,0
0,30,0.2332086,0.06021454,0.00218801,0.0008311775,0.2919609,0.08303634,0.003089215,0.001518652,0.6999664,0,0,0
0,33,0.2808558,0.07585184,0.002695718,0.001027647,0.3453508,0.1013738,0.003692872,0.001808195,0.7727932,0,0,0
0,36,0.3310103,0.09278256,0.003233158,0.001231082,0.4008783,0.1207611,0.004319472,0.002100481,0.8420562,0,0,0
0,39,0.3830036,0.1107779,0.003794038,0.001438156,0.4578047,0.1409566,0.004959925,0.00239222,0.9072449,0,0,0
0,42,0.4359576,0.1296158,0.004371505,0.001646235,0.5138733,0.1617346,0.005609175,0.002680713,0.9379609,0,0,0
0,45,0.4868235,0.1490646,0.004959458,0.001853342,0.5639504,0.1827889,0.006259234,0.002964758,0.9492163,0,0,0
