"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0.0004318844,1.867808E-05,8.097718E-07,1.160062E-07,0.001299189,8.503927E-05,3.917656E-06,1.021603E-06,0.01173081,0,0,0
0,12,0.003347458,0.0004097988,1.889159E-05,5.22164E-06,0.005784621,0.0009414313,4.533284E-05,1.981561E-05,0.02825796,0,0,0
0,18,0.008961166,0.001683474,7.664071E-05,2.944482E-05,0.01277949,0.002938602,0.000138987,7.747125E-05,0.04718038,0,0,0
0,24,0.01685465,0.004013949,0.0001781142,8.154945E-05,0.02196078,0.00611899,0.0002812555,0.000177435,0.06879048,0,0,0
0,30,0.02680141,0.007482455,0.0003228274,0.0001626951,0.03318282,0.01055079,0.0004705499,0.0003170015,0.09281018,0,0,0
0,36,0.03858782,0.01216308,0.0005102603,0.0002711792,0.04615356,0.01629383,0.0007055226,0.0004924408,0.1176872,0,0,0
0,42,0.05183774,0.01807592,0.0007380351,0.0004042269,0.06050541,0.02331628,0.0009815467,0.0006987672,0.1433768,0,0,0
0,48,0.06630443,0.02518046,0.001002016,0.0005581554,0.07609346,0.03155355,0.001293667,0.0009302103,0.1701263,0,0,0
0,54,0.08188668,0.03342726,0.001298577,0.0007292394,0.09286402,0.04095202,0.001638375,0.001181815,0.1979672,0,0,0
0,60,0.09853212,0.04276698,0.00162478,0.0009143253,0.1107734,0.05145619,0.002012755,0.001449632,0.2268013,0,0,0
