"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1.257954E-06,1.028664E-08,3.190208E-10,2.288332E-11,1.065742E-05,1.405128E-07,4.887423E-09,6.858991E-10,0.0002591267,0,0,0
0,6,2.886887E-05,1.017121E-06,4.182144E-08,5.415469E-09,0.0001043125,5.341821E-06,2.349214E-07,5.558533E-08,0.0011947,0,0,0
0,9,0.00014249,9.775165E-06,4.335249E-07,8.272362E-08,0.0003524011,3.305365E-05,1.546958E-06,4.993311E-07,0.002745446,0,0,0
0,12,0.0003991379,4.072261E-05,1.855909E-06,4.628019E-07,0.0007913761,0.0001057759,5.061303E-06,2.016097E-06,0.004793129,0,0,0
0,15,0.0008363817,0.0001112432,5.117506E-06,1.553227E-06,0.001443628,0.0002423403,1.167287E-05,5.41413E-06,0.007312131,0,0,0
0,18,0.001477292,0.0002375156,1.093925E-05,3.84997E-06,0.002318096,0.000457361,2.20192E-05,1.143509E-05,0.01022786,0,0,0
0,21,0.002331509,0.0004331335,1.989147E-05,7.844457E-06,0.003412083,0.0007615602,3.651534E-05,2.067674E-05,0.0134745,0,0,0
0,24,0.003397936,0.0007086422,3.23799E-05,1.396166E-05,0.004714768,0.001162069,5.538153E-05,3.356233E-05,0.01696135,0,0,0
0,27,0.004664036,0.00107147,4.865116E-05,2.252537E-05,0.006197132,0.001662452,7.866009E-05,5.033628E-05,0.02052631,0,0,0
0,30,0.006104292,0.001525406,6.877818E-05,3.374143E-05,0.007828585,0.00226135,0.0001061575,7.104801E-05,0.024181,0,0,0
0,33,0.007693039,0.00207054,9.266289E-05,4.768763E-05,0.009588934,0.00295484,0.0001375644,9.556882E-05,0.02794417,0,0,0
0,36,0.009410418,0.002704911,0.0001201217,6.432591E-05,0.01146432,0.003739301,0.0001726091,0.0001236747,0.03182461,0,0,0
0,39,0.01124194,0.003426188,0.0001509691,8.354682E-05,0.01344469,0.004612072,0.0002110879,0.0001551236,0.03582423,0,0,0
0,42,0.01317684,0.004232286,0.0001850435,0.0001052088,0.01552217,0.00557121,0.0002528455,0.0001896872,0.03994006,0,0,0
0,45,0.01520662,0.005121476,0.0002222094,0.0001291648,0.01768991,0.006615173,0.0002977542,0.0002271603,0.04416594,0,0,0
0,48,0.01732395,0.006092284,0.0002623488,0.0001552755,0.01994145,0.007742532,0.000345697,0.0002673597,0.0484937,0,0,0
0,51,0.01952209,0.00714332,0.0003053519,0.0001834122,0.02227044,0.008951802,0.0003965579,0.0003101176,0.05291402,0,0,0
0,54,0.0217945,0.008273154,0.0003511109,0.000213456,0.02467045,0.01024134,0.0004502179,0.0003552766,0.05741706,0,0,0
0,57,0.02413472,0.009480227,0.0003995161,0.0002452958,0.02713498,0.01160926,0.0005065514,0.0004026859,0.06199292,0,0,0
0,60,0.02653622,0.01076279,0.0004504533,0.0002788259,0.02965746,0.01305345,0.0005654271,0.0004521984,0.06663194,0,0,0
0,63,0.02899249,0.01211888,0.0005038034,0.0003139437,0.03223128,0.01457153,0.0006267069,0.0005036689,0.07132488,0,0,0
0,66,0.03149702,0.0135463,0.0005594422,0.0003505485,0.03484989,0.01616088,0.0006902482,0.0005569536,0.07606307,0,0,0
0,69,0.03404337,0.01504262,0.000617241,0.0003885409,0.03750684,0.01781863,0.0007559041,0.0006119104,0.08083811,0,0,0
0,72,0.0366252,0.01660521,0.000677067,0.0004278225,0.04019577,0.01954173,0.0008235249,0.0006683986,0.08564235,0,0,0
0,75,0.03923632,0.01823123,0.0007387851,0.0004682957,0.04291054,0.02132693,0.0008929592,0.0007262796,0.09046899,0,0,0
0,78,0.04187077,0.01991766,0.0008022577,0.0005098642,0.04564524,0.02317082,0.0009640548,0.0007854172,0.09531184,0,0,0
0,81,0.0445228,0.02166132,0.0008673465,0.000552433,0.0483942,0.02506986,0.00103666,0.0008456788,0.1001654,0,0,0
0,84,0.04718694,0.02345893,0.0009339133,0.0005959093,0.05115206,0.02702045,0.001110626,0.0009069353,0.1050246,0,0,0
0,87,0.04985799,0.02530708,0.001001821,0.0006402018,0.0539137,0.02901887,0.001185803,0.0009690614,0.109885,0,0,0
0,90,0.05253106,0.02720231,0.001070932,0.0006852226,0.0566743,0.03106139,0.001262048,0.001031937,0.1147426,0,0,0
0,93,0.05520153,0.02914108,0.001141115,0.0007308862,0.05942936,0.03314424,0.001339218,0.001095446,0.1195938,0,0,0
0,96,0.05786332,0.03111982,0.001212238,0.0007771106,0.06216126,0.03526351,0.001417174,0.001159479,0.1241895,0,0,0
0,99,0.06049388,0.03313418,0.001284148,0.0008238154,0.06483699,0.03741207,0.001495658,0.001223914,0.1286887,0,0,0
0,102,0.06307721,0.03517734,0.0013566,0.000870907,0.06746046,0.03958027,0.001574305,0.001288573,0.1331678,0,0,0
0,105,0.06561051,0.03724191,0.001429333,0.0009182693,0.07003354,0.04176145,0.001652879,0.001353268,0.1376262,0,0,0
0,108,0.06809445,0.03932188,0.001502143,0.0009657811,0.07255819,0.04395102,0.001731239,0.001417838,0.1420633,0,0,0
0,111,0.07053064,0.04141253,0.001574884,0.001013331,0.0750359,0.04614549,0.001809289,0.001482161,0.1464787,0,0,0
0,114,0.07292091,0.04351026,0.001647454,0.001060823,0.07746769,0.04834218,0.001886966,0.001546145,0.1508719,0,0,0
0,117,0.0752658,0.04561198,0.00171977,0.001108187,0.07985369,0.05053825,0.001964198,0.001609722,0.1552363,0,0,0
0,120,0.07756532,0.04771473,0.001791749,0.001155367,0.08219332,0.05273102,0.002040912,0.001672832,0.1595754,0,0,0
0,135,0.08838509,0.05815695,0.002144331,0.001387075,0.09319544,0.06356357,0.002414657,0.001979909,0.1809006,0,0,0
0,150,0.0980705,0.0682928,0.002480043,0.001609341,0.1030207,0.0739998,0.002767681,0.002270203,0.2015766,0,0,0
0,165,0.1066125,0.07792478,0.002794248,0.001819989,0.1116522,0.08385213,0.003095684,0.002541369,0.221568,0,0,0
0,180,0.1140151,0.08691238,0.003083944,0.002017667,0.1190906,0.09298848,0.003395945,0.002792062,0.2408454,0,0,0
0,195,0.1202975,0.09515972,0.00334733,0.002201555,0.125355,0.1013204,0.003666916,0.003021609,0.2593816,0,0,0
0,210,0.1254863,0.1026044,0.003583442,0.002371203,0.1304697,0.1087913,0.003907831,0.003229775,0.277126,0,0,0
0,225,0.12961,0.109206,0.003791802,0.002526372,0.1344656,0.1153654,0.004118374,0.003416554,0.2940501,0,0,0
0,240,0.1327105,0.1149422,0.003972336,0.002666951,0.1373883,0.1210251,0.00429865,0.003582089,0.3101372,0,0,0
0,255,0.13484,0.1198068,0.004125334,0.002792951,0.1392949,0.1257692,0.004449137,0.003726672,0.3253778,0,0,0
0,270,0.1360587,0.1238069,0.004251382,0.002904491,0.1402508,0.1296095,0.004570609,0.003850722,0.3397694,0,0,0
0,285,0.1364335,0.1269605,0.004351304,0.003001776,0.1403286,0.1325686,0.004664078,0.003954754,0.3533151,0,0,0
0,300,0.1360333,0.1292943,0.004426111,0.003085083,0.1396022,0.1346774,0.004730735,0.004039368,0.3660148,0,0,0
0,315,0.1349285,0.1308411,0.004476934,0.003154742,0.1381481,0.1359728,0.004771885,0.004105206,0.3778816,0,0,0
0,330,0.1331933,0.1316399,0.004505033,0.003211131,0.1360469,0.1364982,0.004788978,0.004152976,0.3889361,0,0,0
0,345,0.1309046,0.1317355,0.004511808,0.003254695,0.1333816,0.1363029,0.004783606,0.004183469,0.3992035,0,0,0
0,360,0.1281394,0.1311782,0.004498783,0.003285953,0.1302348,0.1354416,0.004757487,0.004197564,0.4087135,0,0,0
0,375,0.1249739,0.1300228,0.004467584,0.0033055,0.126688,0.1339735,0.004712442,0.004196239,0.417499,0,0,0
0,390,0.121482,0.1283279,0.004419925,0.003314007,0.1228201,0.1319611,0.004650373,0.004180556,0.4255958,0,0,0
0,405,0.1177346,0.1261545,0.004357582,0.003312213,0.118706,0.1294698,0.004573243,0.004151669,0.4330415,0,0,0
0,420,0.1137985,0.1235662,0.004282381,0.003300931,0.1144163,0.1265667,0.004483055,0.004110808,0.4398751,0,0,0
0,435,0.1097346,0.1206266,0.004196153,0.003281028,0.1100142,0.1233187,0.004381803,0.004059267,0.4461288,0,0,0
0,450,0.1055953,0.1173983,0.004100686,0.003253407,0.105554,0.1197909,0.004271409,0.003998359,0.4518367,0,0,0
0,465,0.1014281,0.1139412,0.0039977,0.003218979,0.1010853,0.1160456,0.004153724,0.003929397,0.4570367,0,0,0
0,480,0.09727602,0.1103134,0.003888858,0.003178668,0.09665227,0.112143,0.004030532,0.003853697,0.4617659,0,0,0
0,495,0.09317674,0.1065697,0.003775757,0.003133404,0.09229346,0.1081396,0.003903537,0.003772568,0.4660604,0,0,0
0,510,0.08916228,0.1027615,0.003659897,0.003084108,0.08804107,0.104088,0.003774326,0.00368729,0.4699551,0,0,0
0,525,0.08525893,0.09893549,0.003542662,0.003031676,0.08392126,0.1000356,0.003644355,0.003599085,0.4734833,0,0,0
0,540,0.08148781,0.09513308,0.003425306,0.002976956,0.07995457,0.09602414,0.003514931,0.003509103,0.4766767,0,0,0
0,555,0.07786515,0.09139035,0.003308941,0.002920742,0.07615647,0.09208964,0.003387201,0.003418395,0.4795655,0,0,0
0,570,0.07440274,0.08773761,0.003194525,0.002863756,0.07253772,0.08826205,0.003262135,0.00332791,0.4821779,0,0,0
0,585,0.07110836,0.08419953,0.003082886,0.002806642,0.06910493,0.08456536,0.003140584,0.003238472,0.4845401,0,0,0
0,600,0.06798585,0.08079518,0.002974652,0.002749962,0.06586049,0.08101775,0.003023156,0.003150789,0.4866731,0,0,0
0,615,0.06503544,0.07753812,0.002870343,0.002694183,0.06280331,0.07763164,0.002910347,0.003065427,0.4885984,0,0,0
0,630,0.0622553,0.0744371,0.002770314,0.002639682,0.05993031,0.07441472,0.00280249,0.00298283,0.4903364,0,0,0
0,645,0.05964194,0.07149694,0.002674809,0.002586758,0.05723676,0.07137071,0.002699795,0.002903333,0.4919061,0,0,0
0,660,0.05719041,0.0687191,0.002583966,0.002535637,0.05471653,0.06850001,0.002602365,0.002827175,0.4933248,0,0,0
0,675,0.05489463,0.06610225,0.002497833,0.002486481,0.0523624,0.06580027,0.002510213,0.002754505,0.4946083,0,0,0
0,690,0.05274774,0.06364287,0.002416383,0.002439395,0.05016642,0.063267,0.002423271,0.002685397,0.4957708,0,0,0
0,705,0.0507423,0.06133579,0.002339531,0.002394433,0.0481202,0.06089413,0.002341417,0.002619864,0.4968255,0,0,0
0,720,0.04887059,0.05917463,0.002267143,0.002351614,0.04621511,0.05867446,0.00226448,0.002557868,0.4977842,0,0,0
0,735,0.04712473,0.05715218,0.002199048,0.00231092,0.04444247,0.05660003,0.002192253,0.002499326,0.4986574,0,0,0
0,750,0.04549687,0.05526073,0.002135056,0.002272307,0.04279369,0.05466247,0.002124513,0.002444129,0.4994549,0,0,0
0,765,0.04397927,0.05349234,0.002074947,0.002235713,0.04126037,0.05285322,0.002060998,0.002392142,0.5001851,0,0,0
0,780,0.04256441,0.05183904,0.00201852,0.002201058,0.03983441,0.05116378,0.002001508,0.00234321,0.5008558,0,0,0
0,795,0.04124504,0.05029298,0.001965514,0.002168257,0.03850804,0.04958582,0.001945692,0.002297181,0.5014739,0,0,0
0,810,0.04001423,0.04884656,0.001915846,0.002137204,0.03727386,0.04811132,0.001893529,0.00225387,0.5020456,0,0,0
0,825,0.03886544,0.04749249,0.001869001,0.00210782,0.03612491,0.0467326,0.001844422,0.002213137,0.5025764,0,0,0
0,840,0.03779246,0.04622391,0.001825014,0.002079987,0.03505462,0.04544247,0.001798388,0.002174797,0.5030711,0,0,0
0,855,0.03678944,0.0450343,0.001783644,0.002053608,0.03405681,0.04423409,0.001755148,0.002138688,0.5035341,0,0,0
0,870,0.03585094,0.04391758,0.001744683,0.002028585,0.03312576,0.04310114,0.001714518,0.002104653,0.5039693,0,0,0
0,885,0.03497188,0.0428681,0.001707963,0.00200482,0.03225612,0.04203768,0.001676305,0.002072539,0.50438,0,0,0
