"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.60192,0.0001389348,1.015218E-05,4.523598E-07,9.050581E-08,0.0003352415,3.287928E-05,1.543705E-06,5.15277E-07,0.001283989,0,0,0
0,19.20384,0.00160078,0.0002607659,1.200129E-05,4.321861E-06,0.002524374,0.0004968558,2.389467E-05,1.254809E-05,0.005659361,0,0,0
0,28.80576,0.005428955,0.001266086,5.736878E-05,2.682602E-05,0.007168548,0.00194849,9.196776E-05,5.924185E-05,0.01175334,0,0,0
0,38.40768,0.01137441,0.00330643,0.0001460845,7.877828E-05,0.01391814,0.004549889,0.0002088013,0.0001498193,0.01962727,0,0,0
0,48.0096,0.01938718,0.006531832,0.0002810623,0.0001622653,0.0227259,0.008462435,0.0003774338,0.0002846461,0.02872497,0,0,0
0,57.61152,0.02912506,0.01103936,0.0004626327,0.0002767475,0.03327036,0.01373461,0.0005954948,0.0004609211,0.03916768,0,0,0
0,67.21344,0.04065662,0.01690427,0.0006901828,0.0004195077,0.04572363,0.02047864,0.0008637821,0.0006747578,0.05093374,0,0,0
0,76.81536,0.05373697,0.02421666,0.0009638972,0.0005888572,0.05967614,0.02873782,0.001180375,0.000923381,0.06336967,0,0,0
0,86.41728,0.0680917,0.0329281,0.001278935,0.0007813348,0.07493839,0.03843309,0.00153917,0.001200632,0.0764524,0,0,0
0,96.0192,0.08332664,0.042945,0.001629973,0.0009927913,0.09098474,0.04942299,0.001933183,0.001500417,0.08955028,0,0,0
0,105.6211,0.09896272,0.05404891,0.002008268,0.001218342,0.1073787,0.06143946,0.002351931,0.001815216,0.1026546,0,0,0
0,115.223,0.1147112,0.06599144,0.002405263,0.001452863,0.1238598,0.07422316,0.002786639,0.002138103,0.1157622,0,0,0
0,124.825,0.1303944,0.07854482,0.002813937,0.001692145,0.1402607,0.08754597,0.003230383,0.002463778,0.1288776,0,0,0
0,134.4269,0.1458971,0.09151136,0.003228695,0.001933041,0.1564675,0.1012138,0.00367774,0.002788401,0.1420048,0,0,0
0,144.0288,0.1611365,0.1047244,0.003645138,0.002173269,0.1723926,0.1150646,0.004124477,0.003109246,0.1551337,0,0,0
0,153.6307,0.1760472,0.1180445,0.004059787,0.002411184,0.1879667,0.1289638,0.004567256,0.003424386,0.1682632,0,0,0
0,163.2327,0.1905822,0.1313578,0.00446994,0.002645609,0.2031402,0.1428027,0.005003522,0.003732484,0.181394,0,0,0
0,172.8346,0.2047089,0.1445732,0.00487354,0.002875715,0.2178783,0.1564954,0.005431368,0.004032648,0.1945268,0,0,0
0,182.4365,0.2184064,0.1576196,0.005269071,0.003100944,0.2321585,0.1699759,0.005849421,0.004324332,0.2076627,0,0,0
0,192.0384,0.2316631,0.1704434,0.005655467,0.003320953,0.2459684,0.1831955,0.006256749,0.004607257,0.2208025,0,0,0
0,201.6403,0.2444741,0.1830057,0.00603202,0.003535559,0.2593019,0.1961192,0.006652769,0.004881346,0.2339431,0,0,0
0,211.2422,0.2568385,0.1952787,0.006398296,0.003744701,0.2721576,0.208723,0.007037153,0.005146662,0.2470839,0,0,0
0,220.8442,0.2687602,0.2072442,0.006754077,0.003948405,0.28454,0.2209917,0.007409786,0.005403378,0.260225,0,0,0
0,230.4461,0.2802477,0.2188917,0.007099318,0.004146765,0.2964582,0.2329179,0.007770721,0.005651738,0.2733666,0,0,0
0,240.048,0.2913123,0.2302167,0.007434118,0.004339922,0.3079245,0.2444996,0.008120145,0.005892045,0.2865089,0,0,0
0,249.6499,0.3019682,0.2412201,0.007758681,0.004528054,0.3189542,0.25574,0.008458346,0.006124637,0.2996522,0,0,0
0,259.2519,0.3122312,0.2519061,0.008073289,0.004711359,0.3295641,0.2666452,0.008785685,0.006349873,0.3127968,0,0,0
0,268.8538,0.3221183,0.262282,0.008378289,0.004890058,0.3397726,0.2772245,0.009102576,0.006568127,0.325943,0,0,0
0,278.4557,0.3316475,0.2723577,0.00867407,0.005064376,0.3495991,0.2874892,0.009409477,0.00677978,0.3390912,0,0,0
0,288.0576,0.3408373,0.2821443,0.008961051,0.005234546,0.3590634,0.297452,0.009706866,0.006985208,0.3522417,0,0,0
0,297.6595,0.3497063,0.2916543,0.009239673,0.005400799,0.3681853,0.3071266,0.009995246,0.007184789,0.3653951,0,0,0
0,307.2614,0.3582726,0.3009003,0.009510363,0.005563363,0.3769842,0.3165264,0.01027508,0.007378875,0.3785506,0,0,0
0,316.8634,0.3665529,0.3098952,0.00977355,0.005722453,0.3854777,0.3256654,0.01054686,0.007567809,0.3917061,0,0,0
0,326.4653,0.3745632,0.3186519,0.01002965,0.005878284,0.3936827,0.3345575,0.01081103,0.007751918,0.4048617,0,0,0
0,336.0672,0.382319,0.3271833,0.01027908,0.006031055,0.401616,0.3432159,0.01106803,0.007931512,0.4180174,0,0,0
0,345.6691,0.3898356,0.3355016,0.01052222,0.00618096,0.409294,0.3516536,0.0113183,0.008106882,0.4311734,0,0,0
0,355.2711,0.3971277,0.3436189,0.01075945,0.006328177,0.4167327,0.3598833,0.01156224,0.008278304,0.4443297,0,0,0
0,364.873,0.4042096,0.3515468,0.01099113,0.00647288,0.4239472,0.3679172,0.01180023,0.008446035,0.4574863,0,0,0
0,374.4749,0.4110948,0.3592965,0.01121759,0.006615228,0.430952,0.375767,0.01203266,0.008610319,0.4706433,0,0,0
0,384.0768,0.4177963,0.3668787,0.01143918,0.006755373,0.437761,0.3834438,0.01225987,0.008771382,0.4838009,0,0,0
0,393.6787,0.4243259,0.3743037,0.01165619,0.006893459,0.4443826,0.3909583,0.01248219,0.008929439,0.496835,0,0,0
0,403.2807,0.4302199,0.3815635,0.01186828,0.007029632,0.4499644,0.3982751,0.01269826,0.009084711,0.508167,0,0,0
0,412.8826,0.4344719,0.388517,0.01207072,0.007163819,0.4535259,0.4051839,0.01290084,0.009236758,0.5177433,0,0,0
0,422.4845,0.436443,0.3949248,0.01225609,0.007295134,0.4545967,0.4114119,0.01308129,0.009383844,0.5263903,0,0,0
0,432.0864,0.4363974,0.4005758,0.01241838,0.007421949,0.4536516,0.4167807,0.01323473,0.009523451,0.5345483,0,0,0
0,441.6883,0.4347483,0.4053784,0.01255552,0.007542597,0.4510947,0.4212385,0.01336037,0.009653479,0.5422385,0,0,0
0,451.2903,0.4316568,0.4093097,0.01266725,0.007655915,0.4469725,0.4247748,0.0134583,0.009772648,0.5489525,0,0,0
0,460.8922,0.4271372,0.4123412,0.01275282,0.007761143,0.441404,0.4273567,0.01352759,0.009880044,0.5552776,0,0,0
0,470.4941,0.421487,0.414465,0.01281218,0.007857612,0.4347215,0.428995,0.01356887,0.009974861,0.5612429,0,0,0
0,480.096,0.4149566,0.415712,0.01284648,0.007944857,0.4271726,0.4297352,0.01358379,0.01005666,0.5668685,0,0,0
0,489.6979,0.4077366,0.4161318,0.01285729,0.008022668,0.4189483,0.4296348,0.01357425,0.01012537,0.5721736,0,0,0
0,499.2999,0.3999774,0.4157811,0.01284636,0.008091052,0.4102015,0.4287558,0.01354219,0.01018115,0.5771765,0,0,0
0,508.9018,0.3918024,0.4147194,0.01281544,0.008150155,0.4010587,0.427161,0.01348955,0.01022435,0.5818945,0,0,0
0,518.5037,0.3833171,0.4130053,0.01276626,0.008200206,0.3916285,0.4249123,0.0134182,0.01025539,0.5863438,0,0,0
0,528.1056,0.3746127,0.410696,0.01270049,0.008241483,0.3820044,0.4220691,0.01332995,0.01027475,0.5905402,0,0,0
0,537.7075,0.3657672,0.4078465,0.01261973,0.008274307,0.3722661,0.4186887,0.01322651,0.01028298,0.5944958,0,0,0
0,547.3094,0.356844,0.4045099,0.01252552,0.00829903,0.3624774,0.4148254,0.01310951,0.01028062,0.5982211,0,0,0
0,556.9114,0.3478989,0.4007367,0.01241931,0.008316028,0.3526972,0.410531,0.01298047,0.01026826,0.6017361,0,0,0
0,566.5133,0.3389795,0.3965715,0.01230236,0.008325662,0.3429743,0.4058515,0.01284075,0.01024647,0.6050522,0,0,0
0,576.1152,0.330127,0.3920573,0.01217591,0.008328306,0.3333507,0.4008308,0.01269165,0.0102158,0.6081808,0,0,0
0,585.7172,0.3213782,0.3872366,0.01204118,0.00832436,0.3238633,0.3955131,0.01253446,0.01017687,0.611133,0,0,0
0,595.3191,0.3127639,0.38215,0.0118993,0.008314233,0.3145432,0.3899394,0.01237037,0.01013028,0.6139191,0,0,0
0,604.921,0.3043096,0.3768351,0.01175133,0.00829833,0.3054159,0.3841484,0.0122005,0.01007662,0.6165491,0,0,0
0,614.5229,0.2960358,0.3713269,0.01159825,0.00827706,0.2965017,0.3781756,0.01202585,0.01001649,0.6190318,0,0,0
0,624.1248,0.2879591,0.365658,0.01144095,0.008250821,0.2878165,0.3720543,0.01184738,0.009950474,0.621376,0,0,0
0,633.7267,0.2800924,0.3598591,0.01128029,0.008220016,0.2793729,0.3658157,0.01166596,0.009879132,0.6235897,0,0,0
0,643.3287,0.2724455,0.3539584,0.01111701,0.008185036,0.2711797,0.3594884,0.01148238,0.009803024,0.6256804,0,0,0
0,652.9306,0.2650251,0.3479822,0.01095185,0.008146264,0.2632431,0.353099,0.0112974,0.009722692,0.6276553,0,0,0
0,662.5325,0.2578361,0.3419549,0.01078545,0.008104077,0.2555668,0.3466722,0.01111166,0.009638655,0.6295211,0,0,0
