"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,8.494251E-07,6.769338E-09,2.08057E-10,1.480942E-11,7.356969E-06,9.421782E-08,3.249094E-09,4.519196E-10,9.170459E-05,0,0,0
0,6,2.080081E-05,7.161526E-07,2.930687E-08,3.758421E-09,7.688316E-05,3.819061E-06,1.671594E-07,3.915503E-08,0.0004540669,0,0,0
0,9,0.0001080328,7.19506E-06,3.180306E-07,5.990132E-08,0.0002749545,2.478699E-05,1.156048E-06,3.680477E-07,0.001117961,0,0,0
0,12,0.0003179853,3.128627E-05,1.422569E-06,3.485982E-07,0.0006500294,8.31307E-05,3.968608E-06,1.552446E-06,0.002068247,0,0,0
0,15,0.0006982375,8.911686E-05,4.094548E-06,1.216561E-06,0.001245639,0.0001991139,9.579549E-06,4.349067E-06,0.003347605,0,0,0
0,18,0.001292434,0.0001982536,9.128246E-06,3.133717E-06,0.002101108,0.0003926233,1.889941E-05,9.573514E-06,0.004957837,0,0,0
0,21,0.002134797,0.0003767585,1.731254E-05,6.635956E-06,0.003226137,0.000682723,3.276315E-05,1.803878E-05,0.006713118,0,0,0
0,24,0.003224536,0.0006409587,2.932933E-05,1.226828E-05,0.004578347,0.001081125,5.161903E-05,3.042737E-05,0.008543805,0,0,0
0,27,0.004537406,0.00100084,4.553455E-05,2.048831E-05,0.00613456,0.001589208,7.536435E-05,4.708922E-05,0.01049851,0,0,0
0,30,0.006054706,0.001460549,6.599032E-05,3.158017E-05,0.00788815,0.002206559,0.0001038067,6.808883E-05,0.01261563,0,0,0
0,33,0.007769453,0.002022483,9.067923E-05,4.566993E-05,0.009843618,0.002935348,0.0001369016,9.338504E-05,0.0149251,0,0,0
0,36,0.009684378,0.002689984,0.0001196369,6.279732E-05,0.012012,0.003780772,0.0001747639,0.0001229491,0.01744951,0,0,0
0,39,0.01180843,0.003468187,0.0001529826,8.297875E-05,0.01440573,0.004750463,0.0002176213,0.0001568034,0.02016596,0,0,0
0,42,0.01414456,0.00436386,0.0001909057,0.0001062425,0.01700383,0.005852322,0.0002657096,0.0001950175,0.0229322,0,0,0
0,45,0.01667388,0.00538269,0.0002335412,0.0001326265,0.01977699,0.00708832,0.000318979,0.0002376041,0.02576967,0,0,0
0,48,0.01937569,0.006526705,0.0002808511,0.0001621309,0.02271365,0.00845642,0.0003771794,0.0002844371,0.02871343,0,0,0
0,51,0.02223885,0.007795829,0.0003327032,0.0001946912,0.02581369,0.00995556,0.0004401189,0.0003353155,0.03179248,0,0,0
0,54,0.02526203,0.0091903,0.0003889868,0.0002302014,0.02908488,0.01158723,0.0005077372,0.0003900493,0.03503042,0,0,0
0,57,0.02845125,0.01071189,0.0004496656,0.0002685512,0.03253976,0.01335539,0.000580091,0.000448502,0.03844611,0,0,0
0,60,0.03181727,0.01236417,0.0005147809,0.0003096519,0.03619335,0.01526598,0.0006573207,0.0005105989,0.04204884,0,0,0
0,63,0.0353702,0.01415232,0.0005844383,0.0003534488,0.04004289,0.01732603,0.0007396067,0.0005763199,0.04571847,0,0,0
0,66,0.03910017,0.01608161,0.0006587449,0.0003999173,0.04405621,0.01953893,0.0008269789,0.0006456506,0.04942007,0,0,0
0,69,0.0429856,0.01815426,0.0007376823,0.0004490314,0.04821365,0.02190216,0.0009192072,0.0007184946,0.05317723,0,0,0
0,72,0.0470091,0.0203691,0.0008210943,0.0005007267,0.05250563,0.02441137,0.001015994,0.0007946648,0.0570106,0,0,0
0,75,0.05116113,0.02272355,0.0009087794,0.0005548939,0.05693038,0.02706312,0.0011171,0.0008739387,0.06093828,0,0,0
0,78,0.05543906,0.02521519,0.001000557,0.0006113992,0.06149167,0.02985548,0.00122237,0.0009561021,0.06497587,0,0,0
0,81,0.05984429,0.02784244,0.001096295,0.0006701053,0.06618848,0.03278795,0.001331722,0.001040971,0.06906515,0,0,0
0,84,0.06436909,0.03060439,0.001195897,0.0007308869,0.07099634,0.03585916,0.001445055,0.001128393,0.07315468,0,0,0
0,87,0.06899475,0.03349878,0.001299228,0.0007936293,0.07589308,0.03906384,0.001562119,0.001218199,0.07724468,0,0,0
0,90,0.07370164,0.03652097,0.00140607,0.0008582103,0.08086038,0.04239424,0.001682579,0.001310184,0.08133551,0,0,0
0,93,0.07847255,0.03966449,0.001516151,0.0009244898,0.08588327,0.04584183,0.001806083,0.001404114,0.08542787,0,0,0
0,96,0.08329318,0.04292198,0.001629177,0.0009923119,0.09094962,0.04939796,0.001932298,0.001499745,0.08952186,0,0,0
