"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0.0005609785,6.564107E-06,2.429925E-07,1.953194E-08,0.003300579,6.868471E-05,2.790129E-06,4.474572E-07,0.02590044,0,0,0
0,6,0.005317338,0.0002549363,1.113918E-05,1.64042E-06,0.01460461,0.001076735,4.949155E-05,1.312753E-05,0.0591636,0,0,0
0,9,0.01653885,0.001464021,6.500972E-05,1.370984E-05,0.03336962,0.004094524,0.0001880156,6.486433E-05,0.09797685,0,0,0
0,12,0.03489053,0.004333961,0.0001882101,4.929793E-05,0.05974949,0.009618289,0.0004279196,0.000170268,0.1399252,0,0,0
0,15,0.06027006,0.00933306,0.0003914805,0.0001171487,0.09289712,0.01785024,0.0007637979,0.0003292043,0.1827867,0,0,0
0,18,0.09211082,0.01668675,0.0006744222,0.0002194511,0.1323607,0.02872989,0.001183112,0.000533956,0.2272436,0,0,0
0,21,0.1299697,0.02641932,0.001030581,0.0003534761,0.1779941,0.04207548,0.001673106,0.000774418,0.27356,0,0,0
0,24,0.1735575,0.03843516,0.001451694,0.0005139686,0.2294973,0.0576634,0.002222876,0.00104084,0.3202924,0,0,0
0,27,0.222457,0.05256789,0.001929295,0.0006949375,0.286301,0.07522897,0.002822226,0.001324766,0.3670275,0,0,0
0,30,0.2761693,0.06859844,0.002454757,0.0008906298,0.3479133,0.09447811,0.003461066,0.001619099,0.4137699,0,0,0
0,33,0.334223,0.0862788,0.003019518,0.00109593,0.4138867,0.1151231,0.004130135,0.001917993,0.4605268,0,0,0
0,36,0.3961958,0.1053573,0.003615523,0.001306492,0.4838149,0.1369012,0.004821382,0.00221676,0.5073074,0,0,0
0,39,0.4617116,0.1255951,0.004235527,0.00151874,0.5573241,0.1595805,0.005527998,0.002511731,0.5540969,0,0,0
0,42,0.5304288,0.1467744,0.004873191,0.001729825,0.6340622,0.1829598,0.0062443,0.002800116,0.6008876,0,0,0
0,45,0.602032,0.1687016,0.005523079,0.001937533,0.7137023,0.2068658,0.006965588,0.003079855,0.6476799,0,0,0
0,48,0.6762309,0.1912068,0.006180587,0.002140195,0.7959417,0.2311505,0.007687991,0.003349484,0.6944747,0,0,0
0,51,0.7527569,0.2141427,0.006841847,0.002336593,0.8804992,0.2556877,0.008408342,0.003608021,0.7412676,0,0,0
0,54,0.8313509,0.2373821,0.007503639,0.002525877,0.9670469,0.2803701,0.009124058,0.003854863,0.7874926,0,0,0
0,57,0.9115095,0.2608157,0.00816329,0.002707497,1.053922,0.3051031,0.009833024,0.004089745,0.8225486,0,0,0
0,60,0.9912885,0.2843394,0.008818524,0.002881198,1.138367,0.3297684,0.01053318,0.004312978,0.8541197,0,0,0
0,63,1.06914,0.3078342,0.009467092,0.003047083,1.21931,0.3542275,0.01122207,0.004525288,0.8757573,0,0,0
0,66,1.143276,0.3311767,0.01010673,0.003205523,1.2947,0.3783505,0.01189746,0.004727636,0.8944826,0,0,0
0,69,1.212792,0.3542439,0.01073533,0.003357095,1.36501,0.4020172,0.01255733,0.004921108,0.9114597,0,0,0
0,72,1.277265,0.3769284,0.01135103,0.003502461,1.428559,0.4251436,0.01320022,0.005106691,0.9187108,0,0,0
0,75,1.335537,0.3991407,0.01195239,0.003642318,1.48489,0.4476484,0.01382516,0.005285507,0.9254859,0,0,0
0,78,1.38748,0.4207993,0.01253827,0.003777413,1.534639,0.4694633,0.01443125,0.005458636,0.9303799,0,0,0
0,81,1.433147,0.4418394,0.01310774,0.003908474,1.577248,0.4905442,0.01501788,0.005627023,0.9316013,0,0,0
0,84,1.472439,0.4622108,0.01366012,0.004036178,1.613218,0.5108538,0.01558467,0.005791578,0.9325992,0,0,0
0,87,1.505742,0.481874,0.0141949,0.004161165,1.643218,0.5303676,0.01613133,0.005953095,0.9334459,0,0,0
0,90,1.533607,0.5008023,0.01471171,0.004283994,1.66786,0.5490758,0.01665772,0.006112215,0.9341689,0,0,0
0,93,1.556577,0.5189815,0.01521034,0.004405135,1.687698,0.566979,0.01716386,0.006269451,0.9347907,0,0,0
0,96,1.575156,0.536407,0.01569073,0.004524976,1.703222,0.5840848,0.01764992,0.00642521,0.9353296,0,0,0
0,99,1.589786,0.5530815,0.01615292,0.004643824,1.714866,0.6004055,0.01811615,0.00657981,0.9358009,0,0,0
0,102,1.600863,0.5690134,0.01659707,0.004761924,1.723012,0.6159564,0.01856285,0.006733494,0.936217,0,0,0
0,105,1.608735,0.5842141,0.01702337,0.004879464,1.727999,0.6307546,0.01899034,0.00688645,0.9365879,0,0,0
0,108,1.613711,0.5986982,0.01743209,0.004996586,1.73013,0.6448188,0.01939899,0.007038808,0.9369219,0,0,0
0,111,1.616065,0.6124817,0.01782348,0.005113394,1.729674,0.6581681,0.01978913,0.007190662,0.9372258,0,0,0
0,114,1.616044,0.6255817,0.01819784,0.005229959,1.726875,0.6708223,0.02016113,0.00734207,0.9375052,0,0,0
0,117,1.613872,0.6380159,0.01855548,0.005346332,1.721954,0.6828009,0.02051533,0.007493064,0.9377646,0,0,0
0,120,1.609751,0.6498024,0.01889668,0.005462539,1.715113,0.6941237,0.0208521,0.00764365,0.9380078,0,0,0
0,135,1.565799,0.6996543,0.02036708,0.006040916,1.657984,0.7415725,0.02228667,0.008389497,0.9390699,0,0,0
0,150,1.494921,0.7359746,0.02147324,0.006611638,1.574711,0.7754069,0.02333754,0.009117883,0.9400118,0,0,0
0,165,1.409024,0.7607675,0.02225374,0.00716739,1.477323,0.7976779,0.02404735,0.009817895,0.9409221,0,0,0
0,180,1.316156,0.7757928,0.02274683,0.007699152,1.373955,0.8101758,0.02445804,0.01047694,0.9418339,0,0,0
0,195,1.221763,0.7825879,0.0229902,0.008197612,1.270085,0.8144637,0.02461075,0.01108251,0.9427598,0,0,0
0,210,1.129461,0.7825024,0.02302064,0.008654117,1.169323,0.811916,0.0245454,0.01162344,0.9437047,0,0,0
0,225,1.041564,0.7767305,0.02287354,0.009061398,1.073939,0.8037502,0.0243001,0.01209081,0.9446701,0,0,0
0,240,0.959453,0.7663358,0.02258231,0.009414111,0.9852532,0.7910512,0.02391058,0.01247865,0.9456565,0,0,0
0,255,0.8838486,0.7522676,0.02217786,0.00970917,0.9039104,0.7747869,0.02340961,0.01278427,0.9466637,0,0,0
0,270,0.8150063,0.7353715,0.02168813,0.009945847,0.8300861,0.7558181,0.02282657,0.01300831,0.9476893,0,0,0
0,285,0.7528584,0.7163964,0.02113783,0.01012566,0.7636287,0.7349037,0.02218722,0.01315443,0.9487187,0,0,0
0,300,0.6971211,0.6959961,0.02054824,0.0102521,0.7041754,0.7127038,0.02151354,0.01322887,0.949749,0,0,0
0,315,0.6473874,0.6747344,0.01993732,0.01033013,0.6512464,0.6897843,0.02082389,0.01323969,0.9507804,0,0,0
0,330,0.6031832,0.6530892,0.01931977,0.01036578,0.6043003,0.6666224,0.02013321,0.01319614,0.9518136,0,0,0
0,345,0.5640044,0.6314583,0.01870747,0.01036559,0.5627726,0.6436121,0.01945337,0.0131079,0.9528489,0,0,0
0,360,0.5293455,0.6101652,0.01810968,0.0103362,0.5261032,0.621071,0.01879356,0.01298456,0.9538865,0,0,0
0,375,0.4987167,0.5894648,0.01753333,0.010284,0.4937549,0.5992461,0.01816039,0.01283511,0.954927,0,0,0
0,390,0.4716565,0.56955,0.01698313,0.0102149,0.4652242,0.5783218,0.0175584,0.0126677,0.9559703,0,0,0
0,405,0.4477381,0.5505599,0.01646271,0.01013407,0.4400482,0.5584273,0.01699099,0.0124893,0.9570169,0,0,0
0,420,0.4265731,0.532586,0.01597387,0.01004597,0.4178074,0.5396444,0.0164593,0.01230579,0.9580669,0,0,0
0,435,0.4078119,0.5156789,0.01551697,0.009954288,0.3981256,0.5220138,0.01596338,0.01212196,0.9591203,0,0,0
0,450,0.3911435,0.4998563,0.0150924,0.009861918,0.3806688,0.5055438,0.01550388,0.01194135,0.9601772,0,0,0
0,465,0.3762931,0.485109,0.01469865,0.009771146,0.3651433,0.490216,0.01507751,0.01176687,0.9612377,0,0,0
0,480,0.3630198,0.4714075,0.01433469,0.009683607,0.3512916,0.4759928,0.01468477,0.01160021,0.9623017,0,0,0
0,495,0.3511132,0.4587068,0.01399937,0.009600405,0.3388894,0.4628218,0.01432291,0.01144264,0.9633693,0,0,0
0,510,0.3403906,0.4469513,0.01369022,0.009522306,0.3277424,0.4506405,0.01398937,0.01129487,0.9644403,0,0,0
0,525,0.3306938,0.4360785,0.01340515,0.009449732,0.3176826,0.4393807,0.01368213,0.01115714,0.9655147,0,0,0
0,540,0.3218865,0.4260225,0.01314234,0.009382809,0.3085651,0.4289712,0.01339893,0.01102935,0.9665923,0,0,0
0,555,0.3138513,0.4167165,0.01289988,0.009321462,0.3002654,0.4193412,0.01313775,0.01091116,0.967673,0,0,0
0,570,0.306487,0.4080949,0.01267571,0.009265502,0.2926765,0.4104212,0.01289625,0.0108021,0.9687567,0,0,0
0,585,0.2997069,0.4000949,0.01246791,0.009214642,0.2857065,0.402145,0.0126722,0.01070161,0.969843,0,0,0
0,600,0.2934365,0.3926567,0.01227552,0.009168472,0.2792765,0.3944505,0.01246562,0.01060886,0.9709319,0,0,0
0,615,0.287612,0.3857251,0.01209593,0.009126651,0.2733189,0.38728,0.01227133,0.01052349,0.9720231,0,0,0
0,630,0.2821785,0.3792489,0.01192788,0.009088807,0.2677757,0.3805806,0.01209051,0.01044464,0.9731163,0,0,0
0,645,0.2770886,0.3731819,0.01177075,0.009054444,0.2625968,0.3743042,0.01192143,0.01037162,0.9742112,0,0,0
0,660,0.2723019,0.3674819,0.01162317,0.009023196,0.2577394,0.3684075,0.01176265,0.01030386,0.9753077,0,0,0
0,675,0.2677836,0.3621112,0.01148435,0.008994675,0.2531664,0.3628515,0.0116129,0.01024079,0.9764035,0,0,0
0,690,0.2634925,0.3570347,0.01135299,0.008968558,0.2488291,0.3575987,0.01147137,0.01018184,0.9774562,0,0,0
0,705,0.259382,0.3522129,0.01122805,0.008944442,0.2446829,0.3526068,0.0113367,0.01012638,0.9784871,0,0,0
0,720,0.2554379,0.3476118,0.01110866,0.0089219,0.240716,0.3478425,0.01120801,0.0100738,0.9795136,0,0,0
0,735,0.251652,0.3432075,0.01099421,0.008900627,0.236919,0.3432828,0.0110847,0.01002369,0.980539,0,0,0
0,750,0.2480148,0.3389818,0.01088425,0.008880417,0.2332809,0.3389096,0.0109663,0.009975729,0.981564,0,0,0
0,765,0.2445159,0.33492,0.01077839,0.00886111,0.2297903,0.3347076,0.01085241,0.009929691,0.9825883,0,0,0
0,780,0.2411449,0.3310088,0.01067629,0.008842574,0.2264359,0.3306636,0.01074265,0.00988537,0.9836118,0,0,0
0,795,0.2378923,0.3272367,0.01057766,0.008824695,0.2232075,0.3267654,0.0106367,0.009842584,0.984634,0,0,0
0,810,0.2347494,0.3235933,0.01048221,0.00880737,0.2200955,0.3230021,0.01053427,0.00980117,0.9856548,0,0,0
0,825,0.2317082,0.3200692,0.0103897,0.008790507,0.2170914,0.319364,0.01043509,0.009760983,0.9866738,0,0,0
0,840,0.2287614,0.3166555,0.01029991,0.008774025,0.2141874,0.315842,0.01033891,0.00972189,0.9876907,0,0,0
0,855,0.2258994,0.3133444,0.01021263,0.008757849,0.2113665,0.3124275,0.0102455,0.009683771,0.9886687,0,0,0
