"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0.0006255807,2.8686E-05,1.25164E-06,1.815278E-07,0.001774814,0.0001263914,5.862116E-06,1.55947E-06,0.007509782,0,0,0
0,12,0.00440135,0.0005496207,2.52881E-05,7.123026E-06,0.007621255,0.00124306,5.96413E-05,2.633971E-05,0.01886199,0,0,0
0,18,0.01194458,0.002230853,0.0001008877,3.851884E-05,0.01713446,0.003908574,0.0001833465,0.0001009277,0.03171378,0,0,0
0,24,0.02266433,0.005376962,0.0002360057,0.0001062427,0.02964205,0.008229186,0.0003734085,0.0002310098,0.04623689,0,0,0
0,30,0.03627786,0.01010428,0.000429185,0.000211523,0.04513384,0.01429668,0.0006263779,0.0004115335,0.06259874,0,0,0
0,36,0.05257773,0.01654005,0.0006800515,0.000351417,0.06321302,0.02222619,0.0009412912,0.0006368919,0.07951409,0,0,0
0,42,0.07110573,0.02472177,0.0009854048,0.0005217992,0.0835182,0.03197359,0.001311677,0.0008999387,0.09731878,0,0,0
0,48,0.09166527,0.0346055,0.001340077,0.0007175246,0.1059472,0.04346792,0.001731746,0.001192961,0.1157757,0,0,0
0,54,0.1139754,0.0461187,0.001739267,0.0009336239,0.130077,0.05659492,0.002195703,0.001509331,0.134239,0,0,0
