"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,5.221367E-05,1.796125E-06,7.415434E-08,9.568529E-09,0.0001908715,9.519666E-06,4.201569E-07,9.900376E-08,0.001100488,0,0,0
0,12,0.0007365809,7.425284E-05,3.393904E-06,8.429313E-07,0.001456102,0.0001937006,9.28823E-06,3.685441E-06,0.00431394,0,0,0
0,18,0.002597451,0.0004279551,1.971791E-05,6.977285E-06,0.003960155,0.0008117293,3.905363E-05,2.048067E-05,0.008230433,0,0,0
0,24,0.005573653,0.001208905,5.500913E-05,2.413626E-05,0.007557458,0.001937767,9.180661E-05,5.658108E-05,0.01301409,0,0,0
0,30,0.009617084,0.002480227,0.0001108927,5.519397E-05,0.01221656,0.003619238,0.000168171,0.0001135497,0.01845732,0,0,0
0,36,0.01458324,0.004287469,0.0001881872,0.0001011121,0.01770954,0.005880689,0.0002678327,0.0001914194,0.02421289,0,0,0
0,42,0.02030136,0.006635574,0.0002858799,0.0001614637,0.023935,0.00870753,0.0003887111,0.0002883513,0.03047627,0,0,0
0,48,0.02673047,0.009526786,0.0004029807,0.0002350227,0.03090489,0.01211069,0.0005301631,0.0004024232,0.03733351,0,0,0
0,54,0.03387788,0.01298126,0.0005393674,0.0003207476,0.03861286,0.01611915,0.0006924235,0.0005324719,0.04457991,0,0,0
