"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,6,0.1354261,0.08998269,0.2335567,0
0,12,0.1989361,0.1316924,0.2816534,0
0,18,0.2361536,0.1561562,0.3125511,0
0,24,0.2654834,0.1754447,0.3381068,0
0,30,0.2915032,0.1925588,0.3611161,0
0,36,0.1800374,0.1183361,0.1488229,0
0,42,0.1388431,0.09130485,0.1205807,0
0,48,0.1224914,0.08056562,0.1082425,0
0,54,0.1126953,0.07412557,0.1000937,0
0,60,0.104997,0.06906258,0.09342901,0
0,66,0.09825538,0.06462825,0.08752477,0
0,72,0.09215865,0.06061797,0.08216506,0
0,78,0.08658148,0.0569494,0.07725605,0
0,84,0.08146425,0.05358334,0.07274683,0
0,90,0.07675767,0.0504874,0.06859564,0
0,96,0.07242176,0.04763526,0.06476759,0
0,102,0.06842358,0.04500525,0.06123339,0
0,108,0.06473318,0.04257767,0.05796656,0
0,114,0.06132256,0.04033411,0.05494278,0
0,120,0.05816627,0.03825783,0.05214,0
0,126,0.05524167,0.03633393,0.04953856,0
0,132,0.05252823,0.03454892,0.04712069,0
0,138,0.05000759,0.03289071,0.04487045,0
0,144,0.04766258,0.03134802,0.0427731,0
0,150,0.04547842,0.02991112,0.0408159,0
0,156,0.04344096,0.02857072,0.0389867,0
0,162,0.04153781,0.02731866,0.03727491,0
0,168,0.03975758,0.02614745,0.03567072,0
0,174,0.03808986,0.02505025,0.03416521,0
0,180,0.03652545,0.02402101,0.03275048,0
0,186,0.03505578,0.02305408,0.03141915,0
0,192,0.03367319,0.02214444,0.03016467,0
0,198,0.03237071,0.0212875,0.02898105,0
0,204,0.03114185,0.02047899,0.02786268,0
0,210,0.02998096,0.01971519,0.02680473,0
0,216,0.02888284,0.0189927,0.02580272,0
0,222,0.02784259,0.01830827,0.02485241,0
0,228,0.0268562,0.01765928,0.02395033,0
0,234,0.0259195,0.01704298,0.02309288,0
0,240,0.02502902,0.01645709,0.02227705,0
0,246,0.02418156,0.01589951,0.02150005,0
0,252,0.02337403,0.0153682,0.0207592,0
0,258,0.02260367,0.01486135,0.02005209,0
0,264,0.02186801,0.01437734,0.01937656,0
0,270,0.02116473,0.01391462,0.01873056,0
0,276,0.02049165,0.01347179,0.0181122,0
