"ParameterPath","Value","Formula","RHSFormula"
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|SA proportionality factor,9500,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Specific clearance (endosome),0.2052,K_uptake-K_rec>=0 ? K_uptake-K_rec : 0,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Surface area scaling exponent,1,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Volume (plasma),2.94986852810143,V_pls_art+V_pls_bon+V_pls_brn+V_pls_cae+V_pls_colasc+V_pls_coldesc+V_pls_colsigm+V_pls_coltrans+V_pls_duo+V_pls_fat+V_pls_tes+V_pls_hrt+V_pls_kid+V_pls_lin+V_pls_lil+V_pls_lje+V_pls_lng+V_pls_mus+V_pls_pan+V_pls_prc+V_pls_prp+V_pls_pve+V_pls_rect+V_pls_skn+V_pls_sin+V_pls_spl+V_pls_sto+V_pls_uil+V_pls_uje+V_pls_ven,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Weight,73.0000004444493,Weight_blood + Weight_tissue,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Weight of blood organs,2.42053716877759,P_1 + P_2 + P_3,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Weight of tissue organs,70.5794632756717,P_1 + P_2 + P_3 + P_4 + P_5 + P_6 + P_7 + P_8 + P_9 + P_10 + P_11 + P_12 + P_13 + P_14 + P_15 + P_16,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Estimated gestational age,1605.35714285714,Age* 365.25/7 + GA,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|BMI,0.235666323748868,Height>0 ? BW / (Height)^2 : 0,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|BSA,188.918809746449,1.6667 * W^0.5 * (H*10)^ 0.5,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|pH (blood cells),7.22,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|pH (interstitial),7.4,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|pH (intracellular),7,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|pH (plasma),7.4,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Scaling exponent for fluid recirculation flow rate,0.667,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Thickness (endothelium),3E-06,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Na,6.022E+17,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|R*T,928.8,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Age,30,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Gestational age,40,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Fraction endosomal (global),0.2,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Protein ratio (interstial/plasma),0.37,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (lipid, blood cells),0.005,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (lipid, plasma),0.007,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (neutral lipid, blood cells)-WS,0.003,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (neutral lipid, plasma)-RR,0.0032,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (protein,blood cells),0.325,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (protein,plasma),0.067,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (water,blood cells),0.625,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (water,interstitial),0.935,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (water,plasma),0.926,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Surface/Volume ratio (blood cells),167000,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (neutral lipid, plasma)-PT,0.0035,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (neutral phospholipid, blood cells)-WS,0.0059,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (neutral phospholipid, plasma)-RR,0.0021,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Fraction of endosomal uptake from plasma (global),1,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Height,17.6,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Ontogeny factor (albumin),1,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Ontogeny factor (alpha1-acid glycoprotein),1,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Plasma protein scale factor,1,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (acidic phospholipids, blood cells)-WS,0.001,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (neutral lipid, blood cells)-RR,0.0012,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (phospholipid, plasma)-PT,0.00225,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (neutral phospholipid, blood cells)-RR,0.0033,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (water,plasma)-PT,0.945,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Fraction recycled to plasma (global),1,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Acidic phospholipids (blood cells) [mg/g] - RR,0.57,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Vf (intracellular water, blood cells)-RR,0.63,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Rate constant for endosomal uptake (global),0.294,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Rate constant for recycling from endosomal space (global),0.0888,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Hematocrit,0.47,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|MeanBW,73,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|MeanHeight,17.6,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Hematocrit|Percentile,0.5,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|Hematocrit|Mean,0.47,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|MeanBW|Percentile,0.5,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|MeanBW|Mean,73,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|MeanBW|Deviation,3.65,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|MeanHeight|Percentile,0.5,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|MeanHeight|Mean,17.6,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|MeanHeight|Deviation,0.88,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Weight (tissue),0.964012058164037,Volume * Density,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Density (tissue),1,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Allometric scale factor,0.75,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Fraction vascular,1,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Volume,0.964012058164037,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Volume|Percentile,0.501054043959735,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Volume|Mean,0.963884723,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Volume|Deviation,0.048194236,,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|Volume of protein container,0.51092639082694,Volume,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|Volume,0.51092639082694,(1-HCT)*V,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|CYP3A4|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|CYP3A4|Relative expression,0,rel_exp_pls,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|CYP3A4|Relative expression (normalized),0,rel_exp_pls_norm,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|CYP3A4|Relative expression out.,0,rel_exp_norm,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|CYP3A4|Start amount,0,rel_exp_out * AF * f_onto * ProteinContainerVolume,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|CYP3A4|Concentration,0,V>0 ? M/V : 0,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|CYP3A4|Ontogeny factor,1,f_onto,
Mida iv 0.05 mgkg - Gorski 1998 - Whole blood|Organism|VenousBlood|Plasma|CYP3A4|t1/2,2160,tHalf,
