"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,6,1.377446,1.016874,0
0,12,0.6766763,0.5402366,0
0,18,0.4799764,0.4120637,0
0,24,0.4107861,0.361578,0
0,30,0.3739953,0.3315839,0
0,36,0.346898,0.3083046,0
0,42,0.3237771,0.288101,0
0,48,0.3030397,0.2698912,0
0,54,0.2841483,0.2532751,0
0,60,0.2668417,0.2380397,0
0,66,0.2509441,0.2240371,0
0,72,0.2363243,0.2111499,0
0,78,0.2228655,0.1992734,0
0,84,0.2104606,0.1883127,0
0,90,0.1990128,0.1781842,0
0,96,0.1884364,0.1688134,0
0,102,0.1786543,0.1601325,0
0,108,0.1695952,0.1520793,0
0,114,0.1611943,0.144598,0
0,120,0.1533934,0.1376385,0
0,126,0.1461405,0.1311558,0
0,132,0.1393874,0.1251085,0
0,138,0.1330918,0.11946,0
0,144,0.1272141,0.1141765,0
0,150,0.1217184,0.1092272,0
0,156,0.116573,0.1045849,0
0,162,0.1117485,0.1002244,0
0,168,0.1072185,0.09612299,0
0,174,0.1029589,0.09226005,0
0,180,0.09894749,0.08861641,0
0,186,0.09516552,0.08517601,0
0,192,0.09159341,0.08192199,0
0,198,0.08821646,0.07884171,0
0,204,0.08501955,0.07592211,0
0,210,0.08198874,0.07315116,0
0,216,0.07911287,0.07051921,0
0,222,0.07637946,0.06801545,0
0,228,0.07377934,0.0656319,0
0,234,0.07130253,0.06335989,0
0,240,0.06894071,0.06119215,0
0,246,0.06668622,0.059122,0
0,252,0.06453156,0.05714288,0
0,258,0.06247069,0.05524944,0
0,264,0.06049712,0.05343603,0
0,270,0.05860581,0.05169814,0
0,276,0.05679159,0.05003124,0
0,282,0.05504983,0.0484312,0
0,288,0.0533765,0.04689442,0
0,294,0.05176743,0.0454172,0
0,300,0.0502193,0.04399654,0
0,306,0.04872847,0.04262919,0
0,312,0.04729196,0.04131246,0
0,318,0.04590713,0.04004394,0
0,324,0.0445714,0.03882128,0
0,330,0.04328189,0.03764192,0
0,336,0.04203673,0.03650408,0
0,342,0.04083401,0.03540603,0
0,348,0.03967153,0.03434575,0
0,354,0.03854744,0.03332153,0
0,360,0.03746016,0.03233191,0
0,366,0.03640813,0.03137542,0
0,372,0.03538979,0.03045063,0
0,378,0.0344037,0.0295562,0
0,384,0.03344846,0.02869081,0
0,390,0.03252299,0.02785345,0
0,396,0.03162633,0.02704317,0
0,402,0.03075715,0.02625876,0
0,408,0.02991427,0.02549912,0
0,414,0.02909651,0.02476314,0
0,420,0.02830277,0.02404979,0
0,426,0.02753348,0.02335933,0
0,432,0.02678691,0.02269024,0
0,438,0.02606214,0.02204162,0
0,444,0.02535818,0.02141257,0
0,450,0.02467403,0.02080216,0
0,456,0.02400985,0.02021044,0
0,462,0.02336505,0.01963684,0
0,468,0.02273855,0.01908036,0
0,474,0.02212965,0.01854035,0
0,480,0.02153764,0.01801615,0
0,486,0.02096201,0.01750726,0
0,492,0.02040286,0.01701368,0
0,498,0.01985928,0.01653461,0
0,504,0.01933078,0.01606956,0
0,510,0.01881692,0.01561809,0
0,516,0.01831723,0.01517978,0
0,522,0.01783138,0.01475427,0
0,528,0.01735896,0.01434118,0
0,534,0.01689957,0.01394012,0
0,540,0.01645285,0.01355074,0
0,546,0.01601844,0.0131727,0
0,552,0.015596,0.01280564,0
0,558,0.01518514,0.01244922,0
0,564,0.01478555,0.01210313,0
0,570,0.01439689,0.01176704,0
0,576,0.01401882,0.01144063,0
0,582,0.01365102,0.01112359,0
0,588,0.01329332,0.01081574,0
0,594,0.01294533,0.01051674,0
0,600,0.01260677,0.01022629,0
0,606,0.01227732,0.00994412,0
0,612,0.01195669,0.009669943,0
0,618,0.01164471,0.009403578,0
0,624,0.01134116,0.009144831,0
0,630,0.01104575,0.008893419,0
0,636,0.01075824,0.008649119,0
0,642,0.01047839,0.008411714,0
0,648,0.010206,0.008180997,0
0,654,0.009940886,0.007956805,0
0,660,0.009682838,0.007738932,0
0,666,0.009431666,0.007527199,0
0,672,0.00918719,0.007321436,0
0,678,0.008949241,0.007121482,0
0,684,0.008717605,0.00692714,0
0,690,0.008492114,0.006738252,0
0,696,0.008272619,0.006554675,0
0,702,0.008058961,0.006376259,0
0,708,0.007850985,0.006202862,0
0,714,0.007648536,0.006034335,0
0,720,0.007451446,0.005870525,0
0,726,0.007259578,0.005711304,0
0,732,0.007072786,0.005556536,0
0,738,0.006890925,0.005406088,0
0,744,0.006713851,0.005259826,0
0,750,0.006541465,0.005117657,0
0,756,0.006373624,0.00497945,0
0,762,0.006210196,0.004845084,0
0,768,0.006051054,0.004714442,0
0,774,0.005896075,0.004587411,0
0,780,0.005745154,0.004463897,0
0,786,0.005598198,0.004343811,0
0,792,0.005455086,0.004227043,0
0,798,0.005315712,0.004113498,0
0,804,0.005179978,0.004003085,0
0,810,0.005047786,0.003895715,0
0,816,0.004919039,0.003791301,0
0,822,0.004793649,0.003689762,0
0,828,0.004671528,0.003591018,0
0,834,0.004552592,0.003494993,0
0,840,0.004436758,0.003401612,0
0,846,0.00432393,0.003310788,0
0,852,0.004214021,0.003222447,0
0,858,0.004106966,0.003136525,0
0,864,0.004002688,0.003052957,0
0,870,0.003901116,0.002971677,0
0,876,0.003802181,0.002892623,0
0,882,0.003705818,0.002815736,0
0,888,0.003611963,0.002740959,0
0,894,0.003520554,0.002668236,0
0,900,0.00343149,0.002597484,0
0,906,0.003344712,0.002528647,0
0,912,0.003260176,0.002461686,0
0,918,0.003177824,0.002396549,0
0,924,0.003097602,0.002333186,0
0,930,0.003019454,0.002271551,0
0,936,0.002943331,0.002211596,0
0,942,0.00286918,0.002153277,0
0,948,0.002796956,0.002096551,0
0,954,0.002726575,0.002041354,0
0,960,0.002657997,0.001987647,0
0,966,0.002591185,0.001935396,0
0,972,0.002526091,0.001884561,0
0,978,0.002462671,0.0018351,0
0,984,0.002400881,0.001786977,0
0,990,0.002340678,0.001740153,0
0,996,0.002282021,0.001694592,0
0,1002,0.002224868,0.001650257,0
0,1008,0.00216918,0.001607121,0
0,1014,0.002114917,0.001565146,0
0,1020,0.002062042,0.0015243,0
0,1026,0.002010518,0.00148455,0
0,1032,0.001960308,0.001445865,0
0,1038,0.001911375,0.001408214,0
0,1044,0.001863686,0.001371567,0
0,1050,0.001817205,0.001335894,0
0,1056,0.001771899,0.001301166,0
0,1062,0.001727756,0.001267376,0
0,1068,0.001684736,0.001234489,0
0,1074,0.001642808,0.001202477,0
0,1080,0.001601941,0.001171316,0
0,1086,0.001562108,0.001140981,0
0,1092,0.001523281,0.001111449,0
0,1098,0.001485433,0.001082699,0
0,1104,0.001448538,0.001054706,0
0,1110,0.00141257,0.001027451,0
0,1116,0.001377516,0.001000922,0
0,1122,0.001343348,0.0009750962,0
0,1128,0.001310041,0.0009499522,0
0,1134,0.001277573,0.0009254718,0
0,1140,0.001245923,0.0009016373,0
0,1146,0.00121507,0.0008784313,0
0,1152,0.001184994,0.0008558369,0
0,1158,0.001155675,0.0008338378,0
0,1164,0.001127094,0.0008124181,0
0,1170,0.001099231,0.0007915626,0
0,1176,0.00107207,0.0007712561,0
0,1182,0.001045591,0.000751484,0
0,1188,0.001019778,0.0007322318,0
0,1194,0.000994614,0.0007134858,0
0,1200,0.0009700825,0.0006952324,0
0,1206,0.0009461674,0.0006774582,0
0,1212,0.000922853,0.0006601503,0
0,1218,0.0009001237,0.0006432958,0
0,1224,0.0008779662,0.0006268855,0
0,1230,0.0008563647,0.0006109055,0
0,1236,0.0008353049,0.000595344,0
0,1242,0.0008147729,0.0005801896,0
0,1248,0.0007947546,0.000565431,0
0,1254,0.0007752366,0.0005510571,0
0,1260,0.0007562055,0.000537057,0
0,1266,0.000737648,0.0005234199,0
0,1272,0.0007195515,0.0005101355,0
0,1278,0.0007019134,0.0004972034,0
0,1284,0.0006847156,0.0004846075,0
0,1290,0.0006679462,0.0004723388,0
0,1296,0.0006515944,0.0004603883,0
0,1302,0.0006356487,0.0004487469,0
0,1308,0.0006200986,0.000437406,0
0,1314,0.0006049332,0.000426357,0
0,1320,0.0005901421,0.0004155916,0
0,1326,0.0005757156,0.000405102,0
0,1332,0.0005616526,0.0003948881,0
0,1338,0.000547938,0.0003849374,0
0,1344,0.0005345631,0.0003752429,0
0,1350,0.000521519,0.0003657978,0
0,1356,0.0005087974,0.0003565953,0
0,1362,0.00049639,0.000347629,0
0,1368,0.0004842889,0.0003388926,0
0,1374,0.0004724862,0.00033038,0
0,1380,0.0004609745,0.0003220853,0
0,1386,0.0004497481,0.0003140043,0
0,1392,0.0004387989,0.0003061304,0
0,1398,0.0004281199,0.0002984582,0
0,1404,0.0004177045,0.0002909827,0
0,1410,0.0004075462,0.0002836986,0
0,1416,0.0003976387,0.0002766011,0
0,1422,0.0003879758,0.0002696854,0
0,1428,0.0003785517,0.0002629469,0
0,1434,0.0003693602,0.000256381,0
0,1440,0.0003603947,0.0002499825,0
