"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,6,0.6284029,0.4634998,0
0,12,0.3085901,0.2463276,0
0,18,0.2189253,0.1879442,0
0,24,0.1873899,0.1649376,0
0,30,0.1706155,0.1512625,0
0,36,0.1582734,0.1406546,0
0,42,0.1477093,0.1314284,0
0,48,0.1382478,0.1231201,0
0,54,0.1296281,0.1155392,0
0,60,0.1217329,0.1085894,0
0,66,0.1144791,0.1022011,0
0,72,0.1078088,0.09632123,0
0,78,0.101669,0.09090293,0
0,84,0.0960093,0.08590289,0
0,90,0.09078588,0.08128253,0
0,96,0.08596072,0.07700773,0
0,102,0.08149832,0.07304761,0
0,108,0.07736614,0.06937412,0
0,114,0.07353404,0.0659616,0
0,120,0.06997652,0.06278747,0
0,126,0.06666769,0.0598303,0
0,132,0.06358692,0.05707178,0
0,138,0.06071444,0.05449492,0
0,144,0.05803277,0.05208459,0
0,150,0.05552574,0.04982692,0
0,156,0.05317871,0.04770935,0
0,162,0.05097802,0.04572032,0
0,168,0.04891166,0.04384948,0
0,174,0.04696855,0.04208737,0
0,180,0.04513894,0.04042554,0
0,186,0.0434135,0.03885603,0
0,192,0.04178435,0.03737199,0
0,198,0.04024412,0.03596705,0
0,204,0.03878559,0.03463507,0
0,210,0.03740342,0.03337136,0
0,216,0.03609109,0.03217035,0
0,222,0.03484412,0.03102814,0
0,228,0.03365783,0.02994066,0
0,234,0.03252769,0.02890398,0
0,240,0.0314502,0.02791506,0
0,246,0.03042144,0.02697044,0
0,252,0.02943843,0.02606754,0
0,258,0.02849816,0.02520369,0
0,264,0.0275978,0.0243764,0
0,270,0.02673503,0.02358363,0
0,276,0.02590734,0.02282317,0
0,282,0.0251128,0.02209328,0
0,288,0.02434941,0.0213922,0
0,294,0.02361537,0.02071831,0
0,300,0.02290913,0.02007023,0
0,306,0.02222906,0.01944649,0
0,312,0.02157386,0.01884593,0
0,318,0.02094221,0.01826732,0
0,324,0.02033289,0.01770959,0
0,330,0.01974484,0.01717176,0
0,336,0.01917697,0.01665283,0
0,342,0.01862836,0.01615197,0
0,348,0.01809808,0.01566831,0
0,354,0.01758526,0.01520107,0
0,360,0.01708919,0.01474956,0
0,366,0.0166092,0.01431317,0
0,372,0.01614442,0.0138911,0
0,378,0.01569432,0.01348286,0
0,384,0.01525836,0.01308792,0
0,390,0.01483599,0.01270578,0
0,396,0.01442656,0.01233582,0
0,402,0.01402965,0.01197765,0
0,408,0.01364479,0.01163082,0
0,414,0.01327153,0.0112949,0
0,420,0.01290943,0.01096948,0
0,426,0.01255808,0.01065416,0
0,432,0.01221707,0.01034857,0
0,438,0.01188606,0.01005236,0
0,444,0.01156471,0.009765218,0
0,450,0.01125266,0.009486797,0
0,456,0.01094956,0.009216776,0
0,462,0.01065517,0.008954898,0
0,468,0.01036918,0.008700884,0
0,474,0.0100913,0.00845446,0
0,480,0.009821295,0.008215373,0
0,486,0.0095589,0.00798339,0
0,492,0.009303884,0.00775828,0
0,498,0.009056019,0.007539823,0
0,504,0.008815086,0.007327809,0
0,510,0.008580863,0.00712202,0
0,516,0.00835315,0.006922268,0
0,522,0.008131754,0.006728363,0
0,528,0.007916484,0.006540122,0
0,534,0.007707158,0.006357369,0
0,540,0.007503597,0.006179931,0
0,546,0.007305639,0.00600765,0
0,552,0.007113128,0.005840377,0
0,558,0.006925892,0.005677948,0
0,564,0.006743775,0.005520212,0
0,570,0.006566621,0.005367018,0
0,576,0.006394276,0.005218222,0
0,582,0.006226589,0.005073678,0
0,588,0.00606348,0.004933305,0
0,594,0.005904821,0.004796981,0
0,600,0.005750454,0.004664556,0
0,606,0.005600248,0.004535908,0
0,612,0.005454079,0.004410916,0
0,618,0.005311817,0.004289459,0
0,624,0.005173339,0.004171421,0
0,630,0.005038627,0.004056777,0
0,636,0.004907534,0.003945392,0
0,642,0.004779947,0.003837156,0
0,648,0.004655762,0.003731975,0
0,654,0.004534882,0.003629755,0
0,660,0.004417209,0.003530404,0
0,666,0.004302653,0.003433837,0
0,672,0.004191171,0.00334001,0
0,678,0.00408265,0.003248821,0
0,684,0.00397701,0.003160191,0
0,690,0.003874172,0.003074048,0
0,696,0.00377406,0.00299032,0
0,702,0.0036766,0.002908936,0
