"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,6,0.001607039,0.005379429,0.072246
0,12,0.01246303,0.02544826,0.2271629
0,18,0.03146334,0.05233015,0.4094057
0,24,0.05194824,0.07619499,0.5747579
0,30,0.0683308,0.09157737,0.7045095
0,36,0.07829979,0.09776639,0.7978176
0,42,0.0821482,0.0967251,0.8615121
0,48,0.08140957,0.09116437,0.9037957
0,54,0.07782143,0.08344246,0.9315197
0,60,0.07281375,0.07520393,0.9496617
0,66,0.06736058,0.06739692,0.9615729
0,72,0.06203611,0.06046119,0.9694614
0,78,0.05712571,0.05451427,0.9747525
0,84,0.05272504,0.04949517,0.978351
0,90,0.0488304,0.04527331,0.9808441
0,96,0.04539355,0.04170436,0.9826119
0,102,0.04235175,0.03865672,0.9838988
0,108,0.03964466,0.03602243,0.9848664
0,114,0.03721987,0.03371688,0.9856209
0,120,0.03503401,0.03167529,0.9862314
0,126,0.03305216,0.02984883,0.9867445
0,132,0.03124623,0.02820059,0.9871907
0,138,0.02959355,0.02670238,0.9875904
0,144,0.0280756,0.02533248,0.9879574
0,150,0.02667707,0.0240738,0.9883006
0,156,0.02538507,0.02291262,0.9886261
0,162,0.02418862,0.02183777,0.9889379
0,168,0.02307827,0.02083995,0.9892387
0,174,0.02204576,0.01991131,0.9895303
0,180,0.02108383,0.01904509,0.989814
0,186,0.02018608,0.01823547,0.9900906
0,192,0.01934678,0.0174773,0.9903606
0,198,0.01856082,0.01676608,0.9906244
0,204,0.01782363,0.01609776,0.9908822
0,210,0.01713108,0.01546877,0.9911343
0,216,0.01647944,0.01487587,0.9913808
0,222,0.01586538,0.01431617,0.9916218
0,228,0.01528585,0.01378704,0.9918574
0,234,0.01473811,0.01328613,0.9920876
0,240,0.01421968,0.01281128,0.9923126
0,246,0.01372829,0.01236056,0.9925324
0,252,0.0132619,0.0119322,0.992747
0,258,0.01281864,0.01152458,0.9929566
0,264,0.01239683,0.01113626,0.9931612
0,270,0.01199493,0.0107659,0.9933608
0,276,0.01161153,0.01041227,0.9935556
0,282,0.01124535,0.01007428,0.9937456
0,288,0.01089524,0.009750906,0.9939308
0,294,0.01056012,0.009441217,0.9941115
0,300,0.01023903,0.009144362,0.9942875
0,306,0.009931061,0.008859561,0.994459
0,312,0.009635416,0.008586097,0.9946261
0,318,0.009351342,0.00832331,0.9947889
0,324,0.009078158,0.008070597,0.9949474
0,330,0.008815232,0.007827397,0.9951017
0,336,0.008561986,0.007593196,0.9952519
0,342,0.008317892,0.00736752,0.995398
0,348,0.008082445,0.007149915,0.9955403
0,354,0.007855207,0.006939989,0.9956786
0,360,0.007635744,0.00673735,0.9958131
0,366,0.007423665,0.006541641,0.9959439
0,372,0.007218621,0.006352547,0.9960711
0,378,0.007020267,0.006169753,0.9961947
0,384,0.0068283,0.005992979,0.9963149
0,390,0.00664243,0.00582196,0.9964316
0,396,0.006462387,0.005656447,0.996545
0,402,0.006287924,0.00549621,0.9966552
0,408,0.006118803,0.005341029,0.9967621
0,414,0.005954806,0.005190701,0.996866
0,420,0.005795728,0.005045032,0.9969668
0,426,0.005641371,0.004903839,0.9970647
0,432,0.005491557,0.004766951,0.9971597
0,438,0.00534611,0.004634206,0.9972519
0,444,0.005204868,0.004505449,0.9973413
0,450,0.00506768,0.004380537,0.9974281
0,456,0.0049344,0.004259329,0.9975122
0,462,0.004804895,0.0041417,0.9975938
0,468,0.004679033,0.004027522,0.9976729
0,474,0.004556689,0.003916678,0.9977496
0,480,0.004437743,0.003809051,0.997824
0,486,0.004322093,0.003704543,0.9978961
0,492,0.00420963,0.003603048,0.9979659
0,498,0.004100246,0.003504464,0.9980336
0,504,0.003993838,0.003408691,0.9980992
0,510,0.003890322,0.003315647,0.9981627
0,516,0.003789614,0.00322525,0.9982243
0,522,0.003691618,0.003137409,0.9982838
0,528,0.003596248,0.00305204,0.9983416
0,534,0.003503427,0.002969068,0.9983974
0,540,0.00341309,0.002888429,0.9984515
0,546,0.003325157,0.002810046,0.9985039
0,552,0.003239556,0.002733849,0.9985545
0,558,0.003156217,0.002659771,0.9986036
0,564,0.003075085,0.002587756,0.998651
0,570,0.002996092,0.00251774,0.9986969
0,576,0.002919178,0.002449664,0.9987413
0,582,0.002844286,0.002383471,0.9987843
0,588,0.00277136,0.002319108,0.9988258
0,594,0.002700345,0.002256521,0.9988661
0,600,0.002631189,0.00219566,0.9989049
0,606,0.00256384,0.002136475,0.9989426
0,612,0.00249825,0.002078918,0.9989789
0,618,0.002434371,0.002022942,0.999014
0,624,0.002372155,0.001968503,0.9990479
0,630,0.002311557,0.001915555,0.9990808
0,636,0.002252533,0.001864057,0.9991125
0,642,0.002195043,0.001813969,0.9991431
0,648,0.002139043,0.00176525,0.9991727
0,654,0.002084493,0.00171786,0.9992014
0,660,0.002031354,0.001671763,0.999229
0,666,0.00197959,0.001626924,0.9992557
0,672,0.001929164,0.001583306,0.9992815
0,678,0.00188004,0.001540875,0.9993064
0,684,0.001832183,0.001499599,0.9993305
0,690,0.001785561,0.001459445,0.9993537
0,696,0.001740141,0.001420383,0.9993761
0,702,0.001695891,0.001382382,0.9993978
0,708,0.001652781,0.001345413,0.9994187
0,714,0.00161078,0.001309447,0.9994389
0,720,0.001569861,0.001274457,0.9994584
0,726,0.001529994,0.001240416,0.9994771
0,732,0.001491152,0.001207297,0.9994953
0,738,0.001453308,0.001175076,0.9995129
0,744,0.001416437,0.001143727,0.9995297
0,750,0.001380512,0.001113228,0.9995461
0,756,0.001345509,0.001083553,0.9995617
0,762,0.001311404,0.00105468,0.9995769
0,768,0.001278174,0.001026588,0.9995916
0,774,0.001245796,0.0009992555,0.9996057
0,780,0.001214248,0.0009726607,0.9996193
0,786,0.001183507,0.0009467838,0.9996324
0,792,0.001153553,0.0009216055,0.9996451
0,798,0.001124367,0.0008971064,0.9996573
0,804,0.001095927,0.0008732679,0.9996691
0,810,0.001068215,0.0008500721,0.9996804
0,816,0.001041211,0.0008275015,0.9996914
0,822,0.001014899,0.0008055388,0.9997019
0,828,0.0009892582,0.0007841678,0.9997121
0,834,0.0009642732,0.0007633722,0.9997219
0,840,0.0009399266,0.0007431363,0.9997314
0,846,0.0009162019,0.0007234449,0.9997404
0,852,0.0008930829,0.0007042831,0.9997492
0,858,0.0008705542,0.0006856366,0.9997576
0,864,0.0008486004,0.0006674913,0.9997658
0,870,0.0008272068,0.0006498336,0.9997737
0,876,0.0008063589,0.0006326502,0.9997813
0,882,0.0007860425,0.0006159282,0.9997885
0,888,0.000766244,0.0005996549,0.9997956
0,894,0.0007469501,0.0005838184,0.9998023
0,900,0.0007281478,0.0005684067,0.9998088
0,906,0.0007098243,0.0005534081,0.9998151
0,912,0.0006919673,0.0005388115,0.9998211
0,918,0.000674565,0.0005246061,0.999827
0,924,0.0006576055,0.0005107811,0.9998326
0,930,0.0006410775,0.0004973263,0.9998379
0,936,0.00062497,0.0004842317,0.9998431
0,942,0.0006092719,0.0004714874,0.9998481
0,948,0.000593973,0.000459084,0.999853
0,954,0.000579063,0.0004470123,0.9998576
0,960,0.0005645318,0.0004352632,0.9998621
0,966,0.0005503697,0.0004238281,0.9998664
0,972,0.0005365674,0.0004126985,0.9998705
0,978,0.0005231153,0.000401866,0.9998745
0,984,0.0005100048,0.0003913227,0.9998783
0,990,0.0004972269,0.0003810606,0.999882
0,996,0.0004847732,0.0003710723,0.9998855
0,1002,0.0004726353,0.0003613503,0.999889
0,1008,0.0004608051,0.0003518873,0.9998922
0,1014,0.0004492747,0.0003426764,0.9998954
0,1020,0.0004380365,0.0003337109,0.9998984
0,1026,0.000427083,0.000324984,0.9999014
0,1032,0.0004164068,0.0003164893,0.9999042
0,1038,0.0004060009,0.0003082206,0.9999069
0,1044,0.0003958583,0.0003001717,0.9999095
0,1050,0.0003859724,0.0002923367,0.999912
0,1056,0.0003763365,0.0002847099,0.9999144
0,1062,0.0003669443,0.0002772856,0.9999167
0,1068,0.0003577895,0.0002700584,0.9999189
0,1074,0.000348866,0.000263023,0.9999211
0,1080,0.000340168,0.0002561742,0.9999232
0,1086,0.0003316897,0.000249507,0.9999251
0,1092,0.0003234254,0.0002430165,0.999927
0,1098,0.0003153698,0.000236698,0.9999289
0,1104,0.0003075175,0.0002305469,0.9999307
0,1110,0.0002998633,0.0002245585,0.9999323
0,1116,0.0002924021,0.0002187286,0.999934
0,1122,0.0002851289,0.0002130529,0.9999356
0,1128,0.0002780391,0.0002075272,0.9999371
0,1134,0.000271128,0.0002021476,0.9999385
0,1140,0.000264391,0.0001969102,0.9999399
0,1146,0.0002578237,0.0001918111,0.9999412
0,1152,0.0002514217,0.0001868465,0.9999425
0,1158,0.0002451807,0.0001820128,0.9999438
0,1164,0.0002390966,0.0001773065,0.999945
0,1170,0.0002331656,0.0001727243,0.9999461
0,1176,0.0002273838,0.0001682629,0.9999472
0,1182,0.0002217473,0.0001639189,0.9999483
0,1188,0.0002162523,0.0001596893,0.9999493
0,1194,0.0002108953,0.0001555709,0.9999502
0,1200,0.0002056728,0.0001515607,0.9999512
0,1206,0.0002005812,0.0001476558,0.9999521
0,1212,0.0001956175,0.0001438536,0.999953
0,1218,0.0001907783,0.0001401512,0.9999538
0,1224,0.0001860604,0.000136546,0.9999546
0,1230,0.0001814607,0.0001330353,0.9999554
0,1236,0.0001769762,0.0001296166,0.9999561
0,1242,0.000172604,0.0001262875,0.9999568
0,1248,0.0001683413,0.0001230456,0.9999575
0,1254,0.0001641853,0.0001198885,0.9999582
0,1260,0.0001601333,0.0001168141,0.9999588
0,1266,0.0001561827,0.0001138201,0.9999593
0,1272,0.0001523308,0.0001109044,0.9999599
0,1278,0.0001485751,0.0001080647,0.9999605
0,1284,0.0001449133,0.0001052993,0.999961
0,1290,0.0001413431,0.0001026061,0.9999616
0,1296,0.0001378619,9.998318E-05,0.999962
0,1302,0.0001344677,9.742865E-05,0.9999625
0,1308,0.0001311582,9.49407E-05,0.999963
0,1314,0.0001279312,9.251755E-05,0.9999634
0,1320,0.0001247847,9.015747E-05,0.9999638
0,1326,0.0001217167,8.78589E-05,0.9999642
0,1332,0.0001187251,8.562012E-05,0.9999647
0,1338,0.0001158081,8.343956E-05,0.999965
0,1344,0.0001129637,8.131565E-05,0.9999654
0,1350,0.0001101901,7.92469E-05,0.9999657
0,1356,0.0001074854,7.723181E-05,0.999966
0,1362,0.0001048482,7.526906E-05,0.9999663
0,1368,0.0001022765,7.335724E-05,0.9999666
0,1374,9.976876E-05,7.149498E-05,0.9999669
0,1380,9.732334E-05,6.968095E-05,0.9999672
0,1386,9.493865E-05,6.791388E-05,0.9999675
0,1392,9.261315E-05,6.619252E-05,0.9999678
0,1398,9.034539E-05,6.451568E-05,0.999968
0,1404,8.813395E-05,6.288224E-05,0.9999682
0,1410,8.597737E-05,6.129101E-05,0.9999685
0,1416,8.387427E-05,5.974086E-05,0.9999686
0,1422,8.18233E-05,5.823073E-05,0.9999689
0,1428,7.982313E-05,5.675953E-05,0.9999691
0,1434,7.787251E-05,5.532626E-05,0.9999693
0,1440,7.597022E-05,5.392996E-05,0.9999695
