"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,6,0.005905187,0.01982529,0.07194836
0,12,0.04438387,0.08868819,0.2031425
0,18,0.1059386,0.1740359,0.351187
0,24,0.1746053,0.2591509,0.5055296
0,30,0.2434143,0.3390261,0.6596156
0,36,0.3044934,0.3978651,0.774968
0,42,0.34203,0.4194906,0.8490065
0,48,0.3554083,0.4132282,0.8960059
0,54,0.3515524,0.3906112,0.925854
0,60,0.3371919,0.3601747,0.9449374
0,66,0.3173133,0.3274221,0.95726
0,72,0.2952507,0.2956095,0.9653165
0,78,0.2731094,0.2664857,0.9706677
0,84,0.2521135,0.2407953,0.974286
0,90,0.2328798,0.2186545,0.976788
0,96,0.2156196,0.1998085,0.9785661
0,102,0.2002914,0.1838189,0.9798725
0,108,0.1867185,0.1701967,0.9808709
0,114,0.1746729,0.1584835,0.9816679
0,120,0.1639265,0.1482913,0.9823334
0,126,0.1542773,0.1393122,0.982913
0,132,0.1455574,0.1313105,0.9834369
0,138,0.1376316,0.1241091,0.9839245
0,144,0.1303914,0.1175738,0.9843829
0,150,0.1237481,0.1116004,0.9848157
0,156,0.1176295,0.1061107,0.9852296
0,162,0.1119774,0.1010438,0.9856281
0,168,0.1067425,0.09635061,0.9860144
0,174,0.1018831,0.09199087,0.9863899
0,180,0.09736312,0.08793058,0.986756
0,186,0.09315063,0.08414075,0.9871134
0,192,0.08921766,0.08059628,0.9874626
0,198,0.08553938,0.07727514,0.9878041
0,204,0.08209351,0.07415785,0.988138
0,210,0.07886012,0.07122707,0.9884647
0,216,0.07582128,0.06846727,0.9887843
0,222,0.07296081,0.06586454,0.9890968
0,228,0.07026411,0.06340631,0.9894024
0,234,0.06771799,0.06108125,0.989701
