"ParameterPath","Value","Formula","RHSFormula"
DDI Control Ahonen 1995 Midazolam|Organism|SA proportionality factor,9500,,
DDI Control Ahonen 1995 Midazolam|Organism|Specific clearance (endosome),0.2052,K_uptake-K_rec>=0 ? K_uptake-K_rec : 0,
DDI Control Ahonen 1995 Midazolam|Organism|Surface area scaling exponent,1,,
DDI Control Ahonen 1995 Midazolam|Organism|Volume (plasma),2.94986852810143,V_pls_art+V_pls_bon+V_pls_brn+V_pls_cae+V_pls_colasc+V_pls_coldesc+V_pls_colsigm+V_pls_coltrans+V_pls_duo+V_pls_fat+V_pls_tes+V_pls_hrt+V_pls_kid+V_pls_lin+V_pls_lil+V_pls_lje+V_pls_lng+V_pls_mus+V_pls_pan+V_pls_prc+V_pls_prp+V_pls_pve+V_pls_rect+V_pls_skn+V_pls_sin+V_pls_spl+V_pls_sto+V_pls_uil+V_pls_uje+V_pls_ven,
DDI Control Ahonen 1995 Midazolam|Organism|Weight,73.0000004444493,Weight_blood + Weight_tissue,
DDI Control Ahonen 1995 Midazolam|Organism|Weight of blood organs,2.42053716877759,P_1 + P_2 + P_3,
DDI Control Ahonen 1995 Midazolam|Organism|Weight of tissue organs,70.5794632756717,P_1 + P_2 + P_3 + P_4 + P_5 + P_6 + P_7 + P_8 + P_9 + P_10 + P_11 + P_12 + P_13 + P_14 + P_15 + P_16,
DDI Control Ahonen 1995 Midazolam|Organism|Estimated gestational age,1605.35714285714,Age* 365.25/7 + GA,
DDI Control Ahonen 1995 Midazolam|Organism|BMI,0.235666323748868,Height>0 ? BW / (Height)^2 : 0,
DDI Control Ahonen 1995 Midazolam|Organism|BSA,188.918809746449,1.6667 * W^0.5 * (H*10)^ 0.5,
DDI Control Ahonen 1995 Midazolam|Organism|pH (blood cells),7.22,,
DDI Control Ahonen 1995 Midazolam|Organism|pH (interstitial),7.4,,
DDI Control Ahonen 1995 Midazolam|Organism|pH (intracellular),7,,
DDI Control Ahonen 1995 Midazolam|Organism|pH (plasma),7.4,,
DDI Control Ahonen 1995 Midazolam|Organism|Scaling exponent for fluid recirculation flow rate,0.667,,
DDI Control Ahonen 1995 Midazolam|Organism|Thickness (endothelium),3E-06,,
DDI Control Ahonen 1995 Midazolam|Organism|Na,6.022E+17,,
DDI Control Ahonen 1995 Midazolam|Organism|R*T,928.8,,
DDI Control Ahonen 1995 Midazolam|Organism|Age,30,,
DDI Control Ahonen 1995 Midazolam|Organism|Gestational age,40,,
DDI Control Ahonen 1995 Midazolam|Organism|Fraction endosomal (global),0.2,,
DDI Control Ahonen 1995 Midazolam|Organism|Protein ratio (interstial/plasma),0.37,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (lipid, blood cells),0.005,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (lipid, plasma),0.007,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (neutral lipid, blood cells)-WS,0.003,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (neutral lipid, plasma)-RR,0.0032,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (protein,blood cells),0.325,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (protein,plasma),0.067,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (water,blood cells),0.625,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (water,interstitial),0.935,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (water,plasma),0.926,,
DDI Control Ahonen 1995 Midazolam|Organism|Surface/Volume ratio (blood cells),167000,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (neutral lipid, plasma)-PT,0.0035,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (neutral phospholipid, blood cells)-WS,0.0059,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (neutral phospholipid, plasma)-RR,0.0021,,
DDI Control Ahonen 1995 Midazolam|Organism|Fraction of endosomal uptake from plasma (global),1,,
DDI Control Ahonen 1995 Midazolam|Organism|Height,17.6,,
DDI Control Ahonen 1995 Midazolam|Organism|Ontogeny factor (albumin),1,,
DDI Control Ahonen 1995 Midazolam|Organism|Ontogeny factor (alpha1-acid glycoprotein),1,,
DDI Control Ahonen 1995 Midazolam|Organism|Plasma protein scale factor,1,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (acidic phospholipids, blood cells)-WS,0.001,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (neutral lipid, blood cells)-RR,0.0012,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (phospholipid, plasma)-PT,0.00225,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (neutral phospholipid, blood cells)-RR,0.0033,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (water,plasma)-PT,0.945,,
DDI Control Ahonen 1995 Midazolam|Organism|Fraction recycled to plasma (global),1,,
DDI Control Ahonen 1995 Midazolam|Organism|Acidic phospholipids (blood cells) [mg/g] - RR,0.57,,
DDI Control Ahonen 1995 Midazolam|Organism|Vf (intracellular water, blood cells)-RR,0.63,,
DDI Control Ahonen 1995 Midazolam|Organism|Rate constant for endosomal uptake (global),0.294,,
DDI Control Ahonen 1995 Midazolam|Organism|Rate constant for recycling from endosomal space (global),0.0888,,
DDI Control Ahonen 1995 Midazolam|Organism|Hematocrit,0.47,,
DDI Control Ahonen 1995 Midazolam|Organism|MeanBW,73,,
DDI Control Ahonen 1995 Midazolam|Organism|MeanHeight,17.6,,
DDI Control Ahonen 1995 Midazolam|Organism|Hematocrit|Percentile,0.5,,
DDI Control Ahonen 1995 Midazolam|Organism|Hematocrit|Mean,0.47,,
DDI Control Ahonen 1995 Midazolam|Organism|MeanBW|Percentile,0.5,,
DDI Control Ahonen 1995 Midazolam|Organism|MeanBW|Mean,73,,
DDI Control Ahonen 1995 Midazolam|Organism|MeanBW|Deviation,3.65,,
DDI Control Ahonen 1995 Midazolam|Organism|MeanHeight|Percentile,0.5,,
DDI Control Ahonen 1995 Midazolam|Organism|MeanHeight|Mean,17.6,,
DDI Control Ahonen 1995 Midazolam|Organism|MeanHeight|Deviation,0.88,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Weight (tissue),0.964012058164037,Volume * Density,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Density (tissue),1,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Allometric scale factor,0.75,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Fraction vascular,1,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Volume,0.964012058164037,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Volume|Percentile,0.501054043959735,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Volume|Mean,0.963884723,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Volume|Deviation,0.048194236,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Volume of protein container,0.51092639082694,Volume,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Volume,0.51092639082694,(1-HCT)*V,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|CYP3A4|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|CYP3A4|Relative expression,0,rel_exp_pls,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|CYP3A4|Relative expression (normalized),0,rel_exp_pls_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|CYP3A4|Relative expression out.,0,rel_exp_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|CYP3A4|Start amount,0,rel_exp_out * AF * f_onto * ProteinContainerVolume,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|CYP3A4|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|CYP3A4|Ontogeny factor,1,f_onto,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|CYP3A4|t1/2,2160,tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|AADAC|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|AADAC|Relative expression,3.9102564103E-05,rel_exp_pls,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|AADAC|Relative expression (normalized),3.9102564103E-05,rel_exp_pls_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|AADAC|Relative expression out.,3.9102564103E-05,rel_exp_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|AADAC|Start amount,1.99785319492248E-05,rel_exp_out * AF * f_onto * ProteinContainerVolume,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|AADAC|Concentration,3.9102564103E-05,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|AADAC|Ontogeny factor,1,f_onto,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|AADAC|t1/2,2160,tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|ATP1A2|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|ATP1A2|Relative expression,0,rel_exp_pls,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|ATP1A2|Relative expression (normalized),0,rel_exp_pls_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|ATP1A2|Relative expression out.,0,rel_exp_norm + HCT / (1-HCT) * rel_exp_bc_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|ATP1A2|Start amount,0,rel_exp_out * AF * f_onto * ProteinContainerVolume,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|ATP1A2|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|ATP1A2|Ontogeny factor,1,f_onto,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|ATP1A2|t1/2,2160,tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Midazolam|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Midazolam|Partition coefficient (water/container),0.016,fu,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Midazolam-CYP3A4-Patki et al. Metabolite|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Midazolam-CYP3A4-Patki et al.|kcat interaction factor,1,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Midazolam-CYP3A4-Patki et al.|kcat_app,13,kcat * kcat_interaction_factor,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Midazolam-CYP3A4-Patki et al.|Km interaction factor,1,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|Plasma|Midazolam-CYP3A4-Patki et al.|Km_app,2.73,Km * Km_interaction_factor,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Volume of protein container,0.453085667337097,Volume,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Volume,0.453085667337097,HCT*V,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|CYP3A4|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|CYP3A4|Relative expression,0,rel_exp_bc,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|CYP3A4|Relative expression (normalized),0,rel_exp_bc_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|CYP3A4|Relative expression out.,0,rel_exp_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|CYP3A4|Start amount,0,rel_exp_out * AF * f_onto * ProteinContainerVolume,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|CYP3A4|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|CYP3A4|Ontogeny factor,1,f_onto,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|CYP3A4|t1/2,2160,tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|AADAC|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|AADAC|Relative expression,3.9102564103E-05,rel_exp_bc,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|AADAC|Relative expression (normalized),3.9102564103E-05,rel_exp_bc_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|AADAC|Relative expression out.,3.9102564103E-05,rel_exp_norm,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|AADAC|Start amount,1.77168113511994E-05,rel_exp_out * AF * f_onto * ProteinContainerVolume,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|AADAC|Concentration,3.9102564103E-05,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|AADAC|Ontogeny factor,1,f_onto,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|AADAC|t1/2,2160,tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Midazolam|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Midazolam|Partition coefficient (water/container),17.0986813978402,K_rbc/fu,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Midazolam-CYP3A4-Patki et al. Metabolite|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Midazolam-CYP3A4-Patki et al.|kcat interaction factor,1,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Midazolam-CYP3A4-Patki et al.|kcat_app,13,kcat * kcat_interaction_factor,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Midazolam-CYP3A4-Patki et al.|Km interaction factor,1,,
DDI Control Ahonen 1995 Midazolam|Organism|VenousBlood|BloodCells|Midazolam-CYP3A4-Patki et al.|Km_app,2.73,Km * Km_interaction_factor,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Weight (tissue),0.419106233649973,Volume * Density,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Density (tissue),1,,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Peripheral blood flow fraction,0,,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Allometric scale factor,0.75,,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Fraction vascular,1,,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Volume,0.419106233649973,,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Volume|Percentile,0.500493470602675,,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Volume|Mean,0.419080314,,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Volume|Deviation,0.020954016,,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|Volume of protein container,0.222126303834486,Volume,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|Volume,0.222126303834486,(1-HCT)*V,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|CYP3A4|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|CYP3A4|Relative expression,0,rel_exp_pls,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|CYP3A4|Relative expression (normalized),0,rel_exp_pls_norm,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|CYP3A4|Relative expression out.,0,rel_exp_norm,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|CYP3A4|Start amount,0,rel_exp_out * AF * f_onto * ProteinContainerVolume,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|CYP3A4|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|CYP3A4|Ontogeny factor,1,f_onto,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|CYP3A4|t1/2,2160,tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|AADAC|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|AADAC|Relative expression,3.9102564103E-05,rel_exp_pls,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|AADAC|Relative expression (normalized),3.9102564103E-05,rel_exp_pls_norm,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|AADAC|Relative expression out.,3.9102564103E-05,rel_exp_norm,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|AADAC|Start amount,8.68570803465044E-06,rel_exp_out * AF * f_onto * ProteinContainerVolume,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|AADAC|Concentration,3.9102564103E-05,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|AADAC|Ontogeny factor,1,f_onto,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|AADAC|t1/2,2160,tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|ATP1A2|Degradation coefficient,0.000320901472481456,ln(2)/tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|ATP1A2|Relative expression,0,rel_exp_pls,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|ATP1A2|Relative expression (normalized),0,rel_exp_pls_norm,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|ATP1A2|Relative expression out.,0,rel_exp_norm + HCT / (1-HCT) * rel_exp_bc_norm,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|ATP1A2|Start amount,0,rel_exp_out * AF * f_onto * ProteinContainerVolume,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|ATP1A2|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|ATP1A2|Ontogeny factor,1,f_onto,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|ATP1A2|t1/2,2160,tHalf,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|Midazolam|Concentration,0,V>0 ? M/V : 0,
DDI Control Ahonen 1995 Midazolam|Organism|ArterialBlood|Plasma|Midazolam|Partition coefficient (water/container),0.016,fu,
