"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,6,0,0,0
0,12,0,0,0
0,18,0,0,0
0,24,0,0,0
0,30,0,0,0
0,36,0,0,0
0,42,0,0,0
0,48,0,0,0
0,54,0,0,0
0,60,0,0,0
0,66,0,0,0
0,72,0,0,0
0,78,0,0,0
0,84,0,0,0
0,90,0,0,0
0,96,0,0,0
0,102,0,0,0
0,108,0,0,0
0,114,0,0,0
0,120,0,0,0
0,126,0.0001448589,0.0005724942,0.00714682
0,132,0.002154277,0.005032712,0.03832985
0,138,0.008010054,0.01491408,0.09539079
0,144,0.01744258,0.02834607,0.168925
0,150,0.02859827,0.04231868,0.2478713
0,156,0.03947704,0.05445736,0.3242575
0,162,0.04872542,0.06358691,0.3939474
0,168,0.05576748,0.06954032,0.4555978
0,174,0.06059731,0.07272877,0.5093926
0,180,0.06351085,0.07377546,0.5561569
0,186,0.06506328,0.07390342,0.6033865
0,192,0.06672493,0.07495537,0.6510497
0,198,0.06811348,0.07518033,0.6918301
0,204,0.06839828,0.07389563,0.7253395
0,210,0.06751341,0.0713857,0.7527773
0,216,0.06575362,0.06815495,0.7754843
0,222,0.06346233,0.06463278,0.7945763
0,228,0.06091271,0.06110578,0.8109003
0,234,0.05829043,0.05773675,0.8250793
0,240,0.05570699,0.05460047,0.8375666
0,246,0.0532226,0.05171832,0.8486933
0,252,0.05086459,0.0490823,0.8587034
0,258,0.04864036,0.04666733,0.867678
0,264,0.04652181,0.0443948,0.8755871
0,270,0.04450309,0.0422905,0.8828572
0,276,0.0426177,0.04037831,0.889625
0,282,0.04086687,0.0386333,0.8959321
0,288,0.03923366,0.03702212,0.9018068
0,294,0.03770008,0.03551861,0.9072787
0,300,0.03625235,0.03410511,0.9123784
0,306,0.03488085,0.03277007,0.9171361
0,312,0.03357879,0.03150564,0.9215795
0,318,0.03234104,0.03030605,0.9257342
0,324,0.03116344,0.02916669,0.9296232
0,330,0.03004102,0.02807695,0.9331536
0,336,0.0289502,0.02700144,0.9362778
0,342,0.0278961,0.02597497,0.9392167
0,348,0.0268971,0.02501376,0.9420115
0,354,0.02595474,0.02411224,0.9446653
0,360,0.02506348,0.02326141,0.9471796
0,366,0.02421738,0.02245419,0.9495586
0,372,0.02341183,0.02168577,0.9518089
0,378,0.02264343,0.02095281,0.9539378
0,384,0.02190952,0.02025281,0.9559528
0,390,0.02120791,0.01958374,0.957861
0,396,0.02053669,0.0189438,0.9596693
0,402,0.0198941,0.01833134,0.9613841
0,408,0.01927852,0.01774482,0.9630111
0,414,0.01868844,0.01718279,0.964556
0,420,0.01812243,0.01664389,0.9660238
0,426,0.01757916,0.01612685,0.9674191
0,432,0.01705736,0.01563046,0.9687455
0,438,0.01655195,0.01514102,0.9698937
0,444,0.01604706,0.01464298,0.9708872
0,450,0.01554898,0.01415682,0.9717996
0,456,0.01506827,0.01369392,0.9726604
0,462,0.01460926,0.01325658,0.9734825
0,468,0.01417227,0.01284335,0.9742721
0,474,0.013756,0.01245178,0.9750323
0,480,0.01335879,0.01207948,0.9757654
0,486,0.01297903,0.01172444,0.976473
0,492,0.01261533,0.01138501,0.9771565
0,498,0.01226646,0.01105986,0.9778171
0,504,0.0119314,0.01074789,0.9784558
0,510,0.01160923,0.01044815,0.9790736
0,516,0.01129914,0.01015985,0.9796716
0,522,0.01100041,0.00988226,0.9802506
0,528,0.01071238,0.009614757,0.9808114
0,534,0.01043445,0.009356761,0.9813547
0,540,0.01016594,0.009106845,0.9818619
0,546,0.009898175,0.008845985,0.9822427
0,552,0.009623571,0.008576535,0.982551
0,558,0.009351064,0.008313981,0.9828275
0,564,0.00908793,0.008065231,0.9830907
0,570,0.008837005,0.007831616,0.9833487
0,576,0.00859857,0.007612143,0.9836054
0,582,0.008371847,0.00740515,0.983862
0,588,0.008155784,0.007209017,0.9841194
0,594,0.007949354,0.00702237,0.9843772
0,600,0.007751657,0.006844102,0.9846357
0,606,0.007561929,0.006673335,0.9848943
0,612,0.007379522,0.006509364,0.9851531
0,618,0.007203886,0.006351613,0.9854116
0,624,0.007034541,0.006199603,0.9856696
0,630,0.006871067,0.006052922,0.985927
0,636,0.006713089,0.005911213,0.9861835
0,642,0.006560269,0.005774161,0.9864388
0,648,0.006412304,0.005641484,0.9866929
0,654,0.006268915,0.005512927,0.9869455
0,660,0.006129846,0.005388258,0.9871963
0,666,0.005994866,0.005267266,0.9874454
0,672,0.005863758,0.005149759,0.9876924
0,678,0.005736325,0.005035566,0.9879375
0,684,0.005612535,0.004924914,0.9881812
0,690,0.005492549,0.004817973,0.9884235
0,696,0.005376228,0.004714442,0.9886642
0,702,0.005263307,0.004613988,0.988903
0,708,0.00515352,0.004516323,0.9891399
0,714,0.005046638,0.00442121,0.9893745
0,720,0.00494246,0.004328458,0.9896069
0,726,0.004840816,0.004237909,0.9898366
0,732,0.004741561,0.004149434,0.9900638
0,738,0.004644568,0.004062925,0.9902883
0,744,0.004549725,0.00397829,0.9905098
0,750,0.004456935,0.003895449,0.9907284
0,756,0.004366112,0.003814331,0.990944
0,762,0.004277181,0.003734877,0.9911565
0,768,0.004190072,0.003657032,0.9913658
0,774,0.004104726,0.003580749,0.9915718
0,780,0.004021085,0.003505985,0.9917746
0,786,0.003939102,0.0034327,0.9919741
0,792,0.003858731,0.003360859,0.9921701
0,798,0.003779929,0.003290427,0.9923628
0,804,0.003702658,0.003221373,0.992552
0,810,0.00362688,0.003153667,0.9927379
0,816,0.003552562,0.00308728,0.9929203
0,822,0.003479671,0.003022185,0.9930993
0,828,0.003408175,0.002958355,0.9932749
0,834,0.003338047,0.002895766,0.993447
0,840,0.003269257,0.002834393,0.9936157
0,846,0.003201781,0.002774215,0.993781
0,852,0.003135593,0.002715209,0.9939429
0,858,0.003070668,0.002657353,0.9941014
0,864,0.003006982,0.002600627,0.9942566
0,870,0.002944513,0.002545008,0.9944085
0,876,0.002883239,0.002490478,0.9945571
0,882,0.002823137,0.002437017,0.9947024
0,888,0.002764187,0.002384606,0.9948446
0,894,0.002706368,0.002333225,0.9949834
0,900,0.00264966,0.002282857,0.9951192
0,906,0.002594043,0.002233482,0.9952519
0,912,0.002539497,0.002185084,0.9953815
0,918,0.002486004,0.002137645,0.995508
0,924,0.002433546,0.002091148,0.9956316
0,930,0.002382103,0.002045575,0.9957523
0,936,0.002331656,0.002000903,0.9958701
0,942,0.002282177,0.001957104,0.9959852
0,948,0.002233654,0.001914177,0.9960976
0,954,0.002186078,0.001872119,0.9962074
0,960,0.002139442,0.001830921,0.9963146
0,966,0.002093733,0.001790575,0.9964192
0,972,0.002048939,0.001751067,0.9965212
0,978,0.002005046,0.001712381,0.9966208
0,984,0.001962038,0.001674504,0.9967179
0,990,0.001919898,0.001637417,0.9968125
0,996,0.00187861,0.001601105,0.9969047
0,1002,0.001838157,0.00156555,0.9969946
0,1008,0.001798524,0.001530736,0.9970822
