"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,6,0,0,0
0,12,0,0,0
0,18,0,0,0
0,24,0,0,0
0,30,0,0,0
0,36,0,0,0
0,42,0,0,0
0,48,0,0,0
0,54,0,0,0
0,60,0,0,0
0,66,0,0,0
0,72,0,0,0
0,78,0,0,0
0,84,0,0,0
0,90,0,0,0
0,96,0,0,0
0,102,0,0,0
0,108,0,0,0
0,114,0,0,0
0,120,0,0,0
0,126,0,0,0
0,132,0,0,0
0,138,0,0,0
0,144,0,0,0
0,150,0,0,0
0,156,0,0,0
0,162,0,0,0
0,168,0,0,0
0,174,0,0,0
0,180,0,0,0
0,186,0,0,0
0,192,0,0,0
0,198,0,0,0
0,204,0,0,0
0,210,0,0,0
0,216,0,0,0
0,222,0,0,0
0,228,0,0,0
0,234,0,0,0
0,240,0,0,0
0,246,0.0005579673,0.001852896,0.072245
0,252,0.004185707,0.008462865,0.2271586
0,258,0.01024254,0.01682874,0.4094113
0,264,0.01638645,0.02368921,0.5747591
0,270,0.02088926,0.027533,0.704513
0,276,0.02312203,0.02810383,0.7834898
0,282,0.022864,0.02569221,0.8203598
0,288,0.02110449,0.02230124,0.8390362
0,294,0.01896354,0.01913136,0.8497229
0,300,0.01697946,0.01655103,0.8568262
0,306,0.01530976,0.01456069,0.8623174
0,312,0.01394875,0.01304585,0.8670866
0,318,0.01284056,0.01188121,0.8715364
0,324,0.01192544,0.01096468,0.8758422
0,330,0.01115443,0.0102219,0.880076
0,336,0.0104913,0.009601685,0.8842624
0,342,0.009910295,0.00906958,0.888405
0,348,0.009393501,0.008602805,0.8924984
0,354,0.008928245,0.008185978,0.8965345
0,360,0.008505472,0.007808681,0.9005044
0,366,0.008118564,0.007463709,0.9043996
0,372,0.007762492,0.00714587,0.9082131
0,378,0.007433325,0.006851313,0.9119387
0,384,0.007127894,0.006577078,0.9155713
0,390,0.006843565,0.006320792,0.9191068
0,396,0.006578107,0.006080503,0.9225422
0,402,0.006329611,0.005854585,0.9258752
0,408,0.006096419,0.00564165,0.9291041
0,414,0.005877072,0.005440491,0.9322281
0,420,0.005670287,0.005250052,0.9352469
0,426,0.005474889,0.005069375,0.9381607
0,432,0.005289886,0.004897652,0.9409699
0,438,0.005114428,0.004734191,0.9436756
0,444,0.004947695,0.004578328,0.946279
0,450,0.004788958,0.00442947,0.9487818
0,456,0.004637566,0.004287089,0.9511856
0,462,0.004492942,0.004150716,0.9534926
0,468,0.004354575,0.004019934,0.9557048
0,474,0.004222003,0.003894365,0.9578246
0,480,0.004094816,0.003773672,0.9598544
0,486,0.003972644,0.003657552,0.9617968
0,492,0.003855156,0.003545729,0.9636543
0,498,0.003742052,0.003437956,0.9654296
0,504,0.003633063,0.003334007,0.9671253
0,510,0.003527945,0.003233677,0.9687441
0,516,0.003426477,0.003136779,0.9702887
0,522,0.003328458,0.003043143,0.9717618
0,528,0.003233708,0.002952612,0.9731659
0,534,0.00314206,0.002865044,0.9745038
0,540,0.003053362,0.002780306,0.9757779
0,546,0.002967472,0.002698274,0.9769909
0,552,0.002884265,0.002618835,0.9781454
0,558,0.002803624,0.002541886,0.9792435
0,564,0.002725441,0.00246733,0.9802878
0,570,0.002649618,0.002395076,0.9812806
0,576,0.002576062,0.00232504,0.9822241
0,582,0.002504687,0.002257142,0.9831206
0,588,0.002435413,0.002191306,0.983972
0,594,0.002368163,0.00212746,0.9847806
0,600,0.002302866,0.002065537,0.9855482
0,606,0.002239454,0.002005473,0.9862768
0,612,0.002177866,0.001947206,0.9869682
0,618,0.00211804,0.001890679,0.9876242
0,624,0.002059919,0.001835835,0.9882466
0,630,0.00200345,0.001782621,0.9888368
0,636,0.001948582,0.001730988,0.9893966
0,642,0.001895264,0.001680884,0.9899274
0,648,0.00184345,0.001632264,0.9904306
0,654,0.001793095,0.001585084,0.9909077
0,660,0.001744156,0.001539297,0.9913599
0,666,0.001696591,0.001494864,0.9917887
0,672,0.001650359,0.001451742,0.992195
0,678,0.001605422,0.001409893,0.9925801
0,684,0.001561742,0.001369278,0.9929451
0,690,0.001519282,0.00132986,0.9932911
0,696,0.001478007,0.001291603,0.993619
0,702,0.001437884,0.001254473,0.9939297
0,708,0.001398879,0.001218436,0.9942243
0,714,0.00136096,0.00118346,0.9945035
0,720,0.001324097,0.001149512,0.9947681
0,726,0.001288259,0.001116563,0.995019
0,732,0.001253418,0.001084582,0.9952568
0,738,0.001219546,0.001053541,0.9954823
0,744,0.001186614,0.001023412,0.9956962
0,750,0.001154596,0.000994168,0.995899
0,756,0.001123467,0.0009657822,0.9960912
0,762,0.001093201,0.0009382291,0.9962737
0,768,0.001063774,0.0009114839,0.9964468
0,774,0.001035162,0.0008855224,0.996611
0,780,0.001007341,0.000860321,0.9967669
0,786,0.0009802902,0.0008358571,0.9969148
0,792,0.0009539865,0.0008121087,0.9970552
0,798,0.0009284091,0.0007890543,0.9971886
0,804,0.0009035374,0.0007666732,0.9973152
0,810,0.0008793516,0.0007449454,0.9974356
0,816,0.0008558322,0.0007238511,0.9975498
0,822,0.0008329602,0.0007033715,0.9976585
0,828,0.0008107173,0.0006834883,0.9977617
0,834,0.0007890858,0.0006641833,0.99786
0,840,0.0007680481,0.0006454395,0.9979533
0,846,0.0007475876,0.0006272399,0.9980421
0,852,0.0007276877,0.0006095683,0.9981266
0,858,0.0007083328,0.0005924088,0.998207
0,864,0.0006895072,0.0005757461,0.9982836
0,870,0.000671196,0.0005595654,0.9983565
0,876,0.0006533848,0.0005438523,0.9984259
0,882,0.0006360594,0.0005285928,0.9984921
0,888,0.0006192061,0.0005137734,0.9985551
0,894,0.0006028115,0.000499381,0.9986152
0,900,0.0005868627,0.0004854029,0.9986725
0,906,0.0005713472,0.0004718266,0.9987271
0,912,0.0005562527,0.0004586404,0.9987792
0,918,0.0005415675,0.0004458324,0.998829
0,924,0.0005272799,0.0004333916,0.9988765
0,930,0.0005133789,0.000421307,0.9989218
0,936,0.0004998535,0.0004095681,0.9989651
0,942,0.0004866934,0.0003981646,0.9990065
0,948,0.0004738882,0.0003870866,0.9990459
0,954,0.0004614281,0.0003763246,0.9990837
0,960,0.0004493034,0.0003658692,0.9991198
0,966,0.0004375048,0.0003557113,0.9991543
0,972,0.0004260232,0.0003458423,0.9991873
0,978,0.0004148499,0.0003362536,0.9992189
0,984,0.0004039761,0.0003269371,0.9992491
0,990,0.0003933937,0.0003178846,0.999278
0,996,0.0003830945,0.0003090885,0.9993057
0,1002,0.0003730707,0.0003005412,0.9993322
0,1008,0.0003633148,0.0002922356,0.9993576
0,1014,0.0003538192,0.0002841646,0.9993819
0,1020,0.0003445769,0.0002763213,0.9994052
0,1026,0.0003355809,0.0002686992,0.9994276
0,1032,0.0003268244,0.0002612918,0.999449
0,1038,0.0003183009,0.0002540929,0.9994695
0,1044,0.000310004,0.0002470964,0.9994891
0,1050,0.0003019274,0.0002402965,0.999508
