"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,2.609503E-05,9.07768E-07,3.718266E-08,4.791719E-09,0,9.568475E-05,4.809526E-06,2.106492E-07,4.954853E-08,0,0.00112132,0,0,0
0,12,0,0.0003819734,3.82303E-05,1.738939E-06,4.293071E-07,0,0.0007679508,0.0001005174,4.801373E-06,1.893275E-06,0,0.00473351,0,0,0
0,18,0,0.001450984,0.0002307683,1.062504E-05,3.705346E-06,0,0.00228759,0.0004475825,2.154603E-05,1.111074E-05,0,0.01016488,0,0,0
0,24,0,0.00336659,0.0006982021,3.190638E-05,1.368762E-05,0,0.004681495,0.001148868,5.476236E-05,3.306673E-05,0,0.0169106,0,0,0
0,30,0,0.006072651,0.001512293,6.819891E-05,3.336177E-05,0,0.00779736,0.002246163,0.0001054669,7.043938E-05,0,0.02414462,0,0,0
0,36,0,0.00938176,0.002690459,0.0001194999,6.388358E-05,0,0.01143713,0.003723566,0.0001719154,0.000123022,0,0.03179754,0,0,0
0,42,0,0.01315241,0.004217575,0.0001844261,0.000104746,0,0.01549951,0.005555845,0.0002521872,0.0001890424,0,0.0399198,0,0,0
0,48,0,0.01730389,0.006078052,0.0002617647,0.0001548245,0,0.01992318,0.007728083,0.0003450931,0.0002667551,0,0.0484787,0,0,0
0,54,0,0.02177858,0.008259862,0.000350576,0.0002130352,0,0.02465622,0.01022815,0.0004496787,0.0003547283,0,0.05740611,0,0,0
0,60,0,0.02652404,0.01075074,0.0004499764,0.0002784448,0,0.02964682,0.01304174,0.0005649575,0.0004517137,0,0.06662399,0,0,0
