"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,5.221333E-05,1.796112E-06,7.415399E-08,9.568458E-09,0,0.0001908686,9.519561E-06,4.201514E-07,9.90029E-08,0,0.001100493,0,0,0
0,12,0,0.0007365575,7.424976E-05,3.393756E-06,8.428959E-07,0,0.001456062,0.0001936938,9.287893E-06,3.685288E-06,0,0.004313869,0,0,0
0,18,0,0.002597425,0.0004279455,1.971745E-05,6.977124E-06,0,0.003960152,0.0008117171,3.905303E-05,2.048023E-05,0,0.008230483,0,0,0
0,24,0,0.005573684,0.001208887,5.500831E-05,2.413546E-05,0,0.007557498,0.00193777,9.180689E-05,5.658023E-05,0,0.0130141,0,0,0
0,30,0,0.009617113,0.00248023,0.0001108929,5.519365E-05,0,0.01221658,0.003619246,0.0001681714,0.0001135497,0,0.01845732,0,0,0
0,36,0,0.01458325,0.004287476,0.0001881876,0.0001011122,0,0.01770954,0.005880694,0.0002678329,0.0001914197,0,0.02421288,0,0,0
0,42,0,0.02030134,0.006635578,0.0002858801,0.000161464,0,0.02393498,0.008707528,0.000388711,0.0002883515,0,0.03047626,0,0,0
0,48,0,0.02673046,0.009526783,0.0004029805,0.0002350227,0,0.03090488,0.01211068,0.0005301631,0.000402423,0,0.03733351,0,0,0
0,54,0,0.03387787,0.01298125,0.0005393673,0.0003207475,0,0.03861284,0.01611915,0.0006924234,0.0005324717,0,0.04457989,0,0,0
0,60,0,0.04164188,0.01701551,0.0006947959,0.0004179002,0,0.04688692,0.02073363,0.0008745428,0.0006774076,0,0.05195948,0,0,0
0,66,0,0.04987953,0.02161137,0.0008676898,0.0005254772,0,0.05561893,0.02591557,0.001074058,0.0008353028,0,0.05956536,0,0,0
0,72,0,0.05852647,0.02673811,0.001056196,0.0006421077,0,0.06477933,0.03163284,0.001289102,0.001004071,0,0.06745329,0,0,0
0,78,0,0.06756087,0.03237177,0.001258955,0.0007664908,0,0.07434309,0.03786428,0.00151849,0.001182055,0,0.07551575,0,0,0
0,84,0,0.07690495,0.03848776,0.001474748,0.0008975648,0,0.08418645,0.04457586,0.001760696,0.001367876,0,0.08358122,0,0,0
0,90,0,0.08644296,0.04504185,0.001701772,0.001034301,0,0.09419818,0.05170801,0.002013356,0.001559965,0,0.09165091,0,0,0
0,96,0,0.09608728,0.05197714,0.001937931,0.001175563,0,0.1043007,0.05919701,0.002274161,0.001756646,0,0.09972241,0,0,0
0,102,0,0.1057743,0.05923558,0.002181266,0.001320215,0,0.1144357,0.06698243,0.002541105,0.001956382,0,0.1077944,0,0,0
0,108,0,0.1154566,0.06676176,0.002430028,0.00146723,0,0.1245591,0.07500816,0.002812445,0.002157854,0,0.1158674,0,0,0
0,114,0,0.1250986,0.0745042,0.00268269,0.001615729,0,0.1346364,0.08322296,0.003086685,0.002359965,0,0.123942,0,0,0
0,120,0,0.1346726,0.08241582,0.002937926,0.001764975,0,0.1446404,0.09158054,0.003362535,0.002561815,0,0.132019,0,0,0
0,126,0,0.1441569,0.09045412,0.003194591,0.001914364,0,0.1545489,0.1000394,0.00363889,0.002762674,0,0.1400995,0,0,0
0,132,0,0.1535342,0.0985811,0.003451701,0.002063398,0,0.1643443,0.1085628,0.00391481,0.002961953,0,0.1481844,0,0,0
0,138,0,0.1627906,0.1067631,0.003708418,0.002211676,0,0.1740112,0.1171184,0.004189496,0.003159181,0,0.156271,0,0,0
0,144,0,0.1719133,0.1149703,0.003964026,0.002358871,0,0.1835358,0.1256776,0.004462269,0.003353985,0,0.1643577,0,0,0
0,150,0,0.1808916,0.1231767,0.00421791,0.002504719,0,0.1929062,0.1342154,0.004732545,0.00354607,0,0.1724446,0,0,0
0,156,0,0.1897166,0.1313591,0.004469551,0.002649009,0,0.2021134,0.1427101,0.004999838,0.003735203,0,0.1805317,0,0,0
0,162,0,0.1983817,0.1394979,0.004718512,0.002791574,0,0.2111501,0.1511429,0.005263744,0.003921209,0,0.1886192,0,0,0
0,168,0,0.2068813,0.147576,0.004964436,0.002932281,0,0.2200082,0.1594981,0.005523938,0.004103962,0,0.1966882,0,0,0
0,174,0,0.2151907,0.1555786,0.005207009,0.003071033,0,0.2286206,0.1677604,0.005780085,0.004283371,0,0.2044398,0,0,0
0,180,0,0.2231483,0.1634825,0.005445635,0.003207741,0,0.2367648,0.1758929,0.006031094,0.004459309,0,0.2118236,0,0,0
0,186,0,0.2306446,0.1712432,0.005679011,0.003342222,0,0.2444058,0.1838407,0.006275274,0.004631393,0,0.2190383,0,0,0
0,192,0,0.2376706,0.1788183,0.005905952,0.003474156,0,0.2515468,0.1915668,0.006511611,0.004799135,0,0.2260937,0,0,0
0,198,0,0.244232,0.1861779,0.006125698,0.003603215,0,0.2581959,0.1990467,0.006739528,0.004962143,0,0.232999,0,0,0
0,204,0,0.250335,0.1933008,0.006337755,0.003729136,0,0.2643489,0.2062633,0.006958649,0.005120148,0,0.2396658,0,0,0
0,210,0,0.2559371,0.2001692,0.006541708,0.003851735,0,0.2699376,0.2131973,0.007168493,0.005272975,0,0.2460646,0,0,0
0,216,0,0.2610112,0.2067618,0.006736997,0.003970863,0,0.2749641,0.2198256,0.007368425,0.005420439,0,0.2522807,0,0,0
0,222,0,0.2655681,0.2130601,0.006923158,0.004086369,0,0.279445,0.2261329,0.007558085,0.005562362,0,0.2583205,0,0,0
0,228,0,0.2696245,0.219052,0.007099919,0.004198122,0,0.2833984,0.2321106,0.007737311,0.005698616,0,0.2641908,0,0,0
0,234,0,0.2731978,0.22473,0.007267146,0.00430603,0,0.2868437,0.2377536,0.007906048,0.005829134,0,0.2698984,0,0,0
0,240,0,0.2763067,0.2300902,0.007424789,0.004410036,0,0.2898012,0.2430602,0.008064318,0.005953896,0,0.2754496,0,0,0
0,246,0,0.2789706,0.2351313,0.007572875,0.004510117,0,0.2922921,0.2480308,0.00821221,0.006072917,0,0.2808512,0,0,0
0,252,0,0.28121,0.2398542,0.007711484,0.004606272,0,0.2943389,0.2526681,0.008349864,0.006186242,0,0.2861096,0,0,0
0,258,0,0.2830461,0.2442617,0.007840745,0.00469852,0,0.2959645,0.2569765,0.008477464,0.006293936,0,0.2912311,0,0,0
0,264,0,0.2845006,0.2483583,0.007960828,0.004786893,0,0.2971928,0.2609619,0.008595235,0.006396083,0,0.2962218,0,0,0
0,270,0,0.2855956,0.2521499,0.008071939,0.004871437,0,0.2980476,0.2646312,0.008703431,0.006492781,0,0.3010879,0,0,0
0,276,0,0.2863534,0.2556432,0.00817431,0.004952209,0,0.2985529,0.2679928,0.008802336,0.00658414,0,0.3058353,0,0,0
0,282,0,0.2867964,0.2588464,0.008268201,0.005029273,0,0.2987328,0.2710556,0.008892252,0.006670279,0,0.3104697,0,0,0
0,288,0,0.2869467,0.261768,0.008353888,0.005102701,0,0.298611,0.2738295,0.008973503,0.006751328,0,0.3149967,0,0,0
0,294,0,0.286826,0.2644175,0.008431667,0.005172572,0,0.298211,0.2763247,0.009046427,0.006827422,0,0.3194217,0,0,0
0,300,0,0.2864558,0.2668047,0.008501842,0.005238967,0,0.2975554,0.2785523,0.00911137,0.006898701,0,0.32375,0,0,0
0,306,0,0.285857,0.26894,0.008564732,0.005301978,0,0.2966668,0.2805232,0.009168689,0.006965313,0,0.3279865,0,0,0
0,312,0,0.2850499,0.2708341,0.008620663,0.005361695,0,0.2955663,0.2822491,0.009218746,0.007027408,0,0.3321252,0,0,0
0,318,0,0.2840332,0.2724974,0.008669944,0.005418217,0,0.2942231,0.2837397,0.009261834,0.007085142,0,0.3360309,0,0,0
0,324,0,0.2827754,0.2739348,0.008712701,0.00547163,0,0.292621,0.2849957,0.009297931,0.007138626,0,0.3398136,0,0,0
0,330,0,0.2812826,0.2751473,0.008748943,0.005521982,0,0.2907775,0.2860175,0.009327042,0.007187902,0,0.3434774,0,0,0
0,336,0,0.2795724,0.2761371,0.008778737,0.005569289,0,0.2887121,0.286809,0.009349295,0.007232991,0,0.347026,0,0,0
0,342,0,0.2776617,0.2769083,0.00880222,0.005613562,0,0.2864425,0.2873755,0.009364875,0.007273924,0,0.3504623,0,0,0
0,348,0,0.2755658,0.2774663,0.008819561,0.005654814,0,0.2839848,0.2877231,0.009373982,0.00731074,0,0.35379,0,0,0
0,354,0,0.2732997,0.2778168,0.008830938,0.005693069,0,0.2813549,0.2878585,0.009376829,0.007343492,0,0.3570126,0,0,0
0,360,0,0.2708776,0.2779661,0.008836545,0.005728357,0,0.2785682,0.2877885,0.009373632,0.007372241,0,0.3601337,0,0,0
0,366,0,0.2683137,0.2779209,0.008836581,0.005760715,0,0.2756395,0.2875202,0.009364618,0.007397055,0,0.363157,0,0,0
0,372,0,0.2656215,0.2776879,0.008831252,0.005790187,0,0.2725832,0.2870612,0.009350018,0.007418011,0,0.3660859,0,0,0
0,378,0,0.262814,0.2772742,0.00882077,0.005816819,0,0.2694134,0.286419,0.009330067,0.00743519,0,0.3689238,0,0,0
0,384,0,0.259904,0.2766871,0.008805349,0.005840662,0,0.2661434,0.2856014,0.009305005,0.007448678,0,0.3716742,0,0,0
0,390,0,0.2569039,0.275934,0.008785208,0.005861774,0,0.2627865,0.2846164,0.009275071,0.007458568,0,0.3743403,0,0,0
0,396,0,0.2538254,0.2750225,0.008760567,0.005880212,0,0.259355,0.283472,0.009240513,0.007464955,0,0.3769253,0,0,0
0,402,0,0.2506801,0.2739601,0.008731648,0.00589604,0,0.2558611,0.2821763,0.009201571,0.007467941,0,0.3794326,0,0,0
