"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,5.221302E-05,1.796108E-06,7.415391E-08,9.568454E-09,0,0.0001908685,9.519511E-06,4.201496E-07,9.900267E-08,0,0.001100502,0,0,0
0,12,0,0.0007365584,7.42499E-05,3.393765E-06,8.428983E-07,0,0.001456077,0.0001936938,9.28789E-06,3.685294E-06,0,0.004314011,0,0,0
0,18,0,0.002597474,0.0004279515,1.971774E-05,6.977154E-06,0,0.003960218,0.0008117314,3.905373E-05,2.048051E-05,0,0.00823035,0,0,0
0,24,0,0.00557369,0.001208904,5.500909E-05,2.413588E-05,0,0.007557433,0.001937781,9.18074E-05,5.658098E-05,0,0.0130143,0,0,0
0,30,0,0.009617188,0.002480234,0.000110893,5.519392E-05,0,0.01221675,0.003619261,0.000168172,0.00011355,0,0.01845767,0,0,0
0,36,0,0.01458346,0.004287523,0.0001881897,0.0001011129,0,0.0177098,0.005880771,0.0002678365,0.0001914216,0,0.02421319,0,0,0
0,42,0,0.02030162,0.006635662,0.0002858837,0.0001614655,0,0.02393528,0.008707645,0.0003887161,0.0002883548,0,0.03047651,0,0,0
0,48,0,0.02673075,0.009526895,0.0004029851,0.000235025,0,0.03090517,0.01211082,0.0005301691,0.0004024273,0,0.0373337,0,0,0
0,54,0,0.03387816,0.01298139,0.0005393725,0.0003207507,0,0.03861315,0.01611931,0.0006924295,0.0005324768,0,0.04458012,0,0,0
