"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0.003989114,0.0001946437,8.544828E-06,1.271054E-06,0,0.01084865,0.000815339,3.772375E-05,1.015893E-05,0,0.1750713,0,0,0
0,12,0,0.02523399,0.003220357,0.0001422637,3.851473E-05,0,0.04239556,0.007092637,0.0003224687,0.0001339038,0,0.3892107,0,0,0
0,18,0,0.06340004,0.01207941,0.0005031211,0.0001747543,0,0.08894801,0.02060403,0.0008778031,0.0004284654,0,0.5960113,0,0,0
0,24,0,0.1127137,0.02720839,0.001067548,0.0004164177,0,0.1442747,0.0404485,0.001623806,0.0008502431,0,0.775937,0,0,0
0,30,0,0.1662208,0.04754819,0.001776025,0.0007334586,0,0.1993593,0.06478083,0.002481616,0.001344956,0,0.8613809,0,0,0
0,36,0,0.2136831,0.07103022,0.0025553,0.001093026,0,0.2450228,0.09076197,0.003357226,0.001870357,0,0.9072344,0,0,0
0,42,0,0.2522308,0.09533319,0.003333545,0.001467395,0,0.2815069,0.1163118,0.004188568,0.002392913,0,0.937884,0,0,0
0,48,0,0.2825357,0.119055,0.004073197,0.001836607,0,0.3098515,0.1405216,0.004956018,0.002892887,0,0.9583919,0,0,0
0,54,0,0.30568,0.1414673,0.004758396,0.002189354,0,0.3311614,0.1629504,0.005653385,0.003361032,0,0.9721223,0,0,0
