"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0.005824878,0.0002813172,1.228544E-05,1.812114E-06,0,0.01605037,0.001180947,5.42024E-05,1.438891E-05,0,0.0329656,0,0,0
0,12,0,0.0386962,0.004781909,0.0002063335,5.336348E-05,0,0.06608495,0.01062165,0.0004690315,0.0001837894,0,0.0763891,0,0,0
0,18,0,0.1014988,0.01831641,0.0007338032,0.0002348702,0,0.1456373,0.0314314,0.00128239,0.0005682107,0,0.1231131,0,0,0
0,24,0,0.1894685,0.04177983,0.001563922,0.0005432053,0,0.2494158,0.06237919,0.002383746,0.001093872,0,0.1698673,0,0,0
0,30,0,0.2974979,0.07367962,0.002615911,0.0009315056,0,0.3730768,0.1008901,0.00366866,0.001684836,0,0.2166571,0,0,0
0,36,0,0.4218056,0.1118467,0.003812766,0.001354662,0,0.5131744,0.1445435,0.005058704,0.002288325,0,0.2634524,0,0,0
0,42,0,0.5594394,0.1542926,0.00509394,0.001780943,0,0.6667736,0.1914377,0.006498578,0.002872092,0,0.3102625,0,0,0
0,48,0,0.7079557,0.1994274,0.006414958,0.00219094,0,0.8313407,0.2401607,0.007950208,0.00341828,0,0.3571025,0,0,0
0,54,0,0.8652737,0.2460489,0.00774441,0.002574071,0,1.004686,0.2896875,0.009388073,0.003918357,0,0.4039783,0,0,0
