"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Hydroxy-Itraconazole|Plasma Unbound [µmol/l]","Organism|ArterialBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Itraconazole|Plasma Unbound [µmol/l]","Organism|ArterialBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Midazolam|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|BloodCells|Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|BloodCells|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Hydroxy-Itraconazole|Whole Blood [µmol/l]","Organism|ArterialBlood|Itraconazole|Whole Blood [µmol/l]","Organism|ArterialBlood|Midazolam|Whole Blood [µmol/l]","Organism|Kidney|Urine|Itraconazole|Fraction excreted to urine","Organism|Kidney|Urine|Midazolam|Fraction excreted to urine","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4.578526,14.08697,0,3.217746,13.95618,0,0,3.302644,0.01908603,14.47147,0.2315434,0,11.48515,3.956149,0,7.148423,9.529266,0.0001480588,0.0008603834,0,0,0
0,6,0,2.934708,10.38249,0,2.272771,10.97714,0,0,2.367503,0.01368183,11.24963,0.179994,0,9.57636,3.076533,0,5.755666,7.408272,0.0002348723,0.001180853,0,0,0
0,9,0,2.167207,8.291238,0,1.840474,8.66826,0,0,1.910817,0.01104264,8.833307,0.1413329,0,7.83709,2.415967,0,4.696166,5.817157,0.0002892674,0.001429286,0,0,0
0,12,0,1.747706,7.003419,0,1.59607,7.283513,0,0,1.643283,0.009496555,7.381444,0.1181031,0,6.563552,2.019032,0,3.955809,4.86111,0.0003297193,0.001629088,0,0,0
0,15,0,1.490467,6.219525,0,1.435199,6.445985,0,0,1.466134,0.00847281,6.505706,0.1040913,0,5.671235,1.779599,0,3.442531,4.284436,0.0003630896,0.001799779,0,0,0
0,18,0,1.319029,5.735977,0,1.317855,5.925258,0,0,1.338323,0.007734191,5.962613,0.09540181,0,5.040823,1.631106,0,3.078499,3.926805,0.0003922431,0.001952744,0,0,0
0,21,0,1.197019,5.429396,0,1.226078,5.592493,0,0,1.240046,0.007166245,5.616634,0.08986615,0,4.581355,1.536505,0,2.810461,3.698973,0.0004185544,0.00209461,0,0,0
0,24,0,1.105279,5.228197,0,1.15072,5.372077,0,0,1.160697,0.006707688,5.388267,0.08621226,0,4.232411,1.474058,0,2.604403,3.548589,0.000442769,0.002229306,0,0,0
0,27,0,1.032775,5.090063,0,1.086524,5.219776,0,0,1.094057,0.006322571,5.231135,0.08369816,0,3.955603,1.431089,0,2.438984,3.445113,0.0004653403,0.002359202,0,0,0
0,30,0,0.9730037,4.990267,0,1.030349,5.109109,0,0,1.036372,0.005989212,5.117494,0.0818799,0,3.72694,1.40001,0,2.300939,3.370276,0.0004865593,0.002485738,0,0,0
0,33,0,0.9220566,4.914289,0,0.980241,5.024515,0,0,0.9853207,0.005694183,5.031045,0.08049671,0,3.531609,1.376366,0,2.182076,3.313346,0.0005066228,0.002609787,0,0,0
0,36,0,0.8774729,4.853407,0,0.9349085,4.956569,0,0,0.9393879,0.005428737,4.961935,0.07939096,0,3.360286,1.357464,0,2.07721,3.267833,0.0005256732,0.002731896,0,0,0
0,39,0,0.837647,4.80223,0,0.8934612,4.899314,0,0,0.8975457,0.00518693,4.903923,0.07846276,0,3.206897,1.341596,0,1.982941,3.229629,0.0005438191,0.002852426,0,0,0
0,42,0,0.8014899,4.757305,0,0.8552565,4.848989,0,0,0.8590654,0.004964551,4.853076,0.07764921,0,3.067349,1.327687,0,1.896959,3.196143,0.0005611469,0.00297162,0,0,0
0,45,0,0.7682946,4.716592,0,0.8198399,4.803409,0,0,0.8234417,0.004758682,4.807114,0.07691382,0,2.938968,1.315114,0,1.817739,3.165874,0.0005777261,0.003089637,0,0,0
0,48,0,0.7376251,4.679064,0,0.7868932,4.761415,0,0,0.7903305,0.004567331,4.764832,0.07623731,0,2.820081,1.303547,0,1.744313,3.138028,0.000593613,0.003206579,0,0,0
0,51,0,0.7091765,4.64415,0,0.7561694,4.722332,0,0,0.7594712,0.004388995,4.725523,0.07560838,0,2.709546,1.292794,0,1.676006,3.112141,0.0006088564,0.00332252,0,0,0
0,54,0,0.6827037,4.611435,0,0.727459,4.685701,0,0,0.7306465,0.004222417,4.688713,0.07501941,0,2.606469,1.282724,0,1.612283,3.087898,0.0006235,0.003437521,0,0,0
0,57,0,0.6579754,4.580498,0,0.7005696,4.651083,0,0,0.703656,0.004066438,4.653943,0.07446308,0,2.510026,1.273212,0,1.55265,3.064999,0.0006375841,0.003551641,0,0,0
0,60,0,0.6348449,4.551196,0,0.6753564,4.618302,0,0,0.6783527,0.00392021,4.621034,0.07393654,0,2.419665,1.26421,0,1.49677,3.043327,0.0006511441,0.00366492,0,0,0
0,63,0,0.6131021,4.523087,0,0.6516534,4.586896,0,0,0.6545618,0.003782722,4.589504,0.07343207,0,2.334632,1.255584,0,1.444195,3.022562,0.0006642148,0.003777417,0,0,0
