"ParameterPath","Value","Formula","RHSFormula"
S2|Organism|SA proportionality factor,9500,,
S2|Organism|Specific clearance (endosome),0.2052,K_uptake-K_rec>=0 ? K_uptake-K_rec : 0,
S2|Organism|Surface area scaling exponent,1,,
S2|Organism|Volume (plasma),2.39109483192404,V_pls_art+V_pls_bon+V_pls_brn+V_pls_cae+V_pls_colasc+V_pls_coldesc+V_pls_colsigm+V_pls_coltrans+V_pls_duo+V_pls_fat+V_pls_tes+V_pls_hrt+V_pls_kid+V_pls_lin+V_pls_lil+V_pls_lje+V_pls_lng+V_pls_mus+V_pls_pan+V_pls_prc+V_pls_prp+V_pls_pve+V_pls_rect+V_pls_skn+V_pls_sin+V_pls_spl+V_pls_sto+V_pls_uil+V_pls_uje+V_pls_ven,
S2|Organism|Weight,60.034000098327,Weight_blood + Weight_tissue,
S2|Organism|Weight of blood organs,1.95001618818131,P_1 + P_2 + P_3,
S2|Organism|Weight of tissue organs,58.0839839101457,P_1 + P_2 + P_3 + P_4 + P_5 + P_6 + P_7 + P_8 + P_9 + P_10 + P_11 + P_12 + P_13 + P_14 + P_15 + P_16,
S2|Organism|Estimated gestational age,1605.35714285714,Age* 365.25/7 + GA,
S2|Organism|BMI,0.207827894002301,Height>0 ? BW / (Height)^2 : 0,
S2|Organism|BSA,168.356325129003,1.6667 * W^0.5 * (H*10)^ 0.5,
S2|Organism|pH (blood cells),7.22,,
S2|Organism|pH (interstitial),7.4,,
S2|Organism|pH (intracellular),7,,
S2|Organism|pH (plasma),7.4,,
S2|Organism|Scaling exponent for fluid recirculation flow rate,0.667,,
S2|Organism|Thickness (endothelium),3E-06,,
S2|Organism|Na,6.022E+17,,
S2|Organism|R*T,928.8,,
S2|Organism|Age,30,,
S2|Organism|Gestational age,40,,
S2|Organism|Fraction endosomal (global),0.2,,
S2|Organism|Protein ratio (interstial/plasma),0.37,,
S2|Organism|Vf (lipid, blood cells),0.005,,
S2|Organism|Vf (lipid, plasma),0.007,,
S2|Organism|Vf (neutral lipid, blood cells)-WS,0.003,,
S2|Organism|Vf (neutral lipid, plasma)-RR,0.0032,,
S2|Organism|Vf (protein,blood cells),0.325,,
S2|Organism|Vf (protein,plasma),0.067,,
S2|Organism|Vf (water,blood cells),0.625,,
S2|Organism|Vf (water,interstitial),0.935,,
S2|Organism|Vf (water,plasma),0.926,,
S2|Organism|Surface/Volume ratio (blood cells),167000,,
S2|Organism|Vf (neutral lipid, plasma)-PT,0.0035,,
S2|Organism|Vf (neutral phospholipid, blood cells)-WS,0.0059,,
S2|Organism|Vf (neutral phospholipid, plasma)-RR,0.0021,,
S2|Organism|Fraction of endosomal uptake from plasma (global),1,,
S2|Organism|Height,16.996,,
S2|Organism|Ontogeny factor (albumin),1,,
S2|Organism|Ontogeny factor (alpha1-acid glycoprotein),1,,
S2|Organism|Plasma protein scale factor,1,,
S2|Organism|Vf (acidic phospholipids, blood cells)-WS,0.001,,
S2|Organism|Vf (neutral lipid, blood cells)-RR,0.0012,,
S2|Organism|Vf (phospholipid, plasma)-PT,0.00225,,
S2|Organism|Vf (neutral phospholipid, blood cells)-RR,0.0033,,
S2|Organism|Vf (water,plasma)-PT,0.945,,
S2|Organism|Fraction recycled to plasma (global),1,,
S2|Organism|Acidic phospholipids (blood cells) [mg/g] - RR,0.57,,
S2|Organism|Vf (intracellular water, blood cells)-RR,0.63,,
S2|Organism|Rate constant for endosomal uptake (global),0.294,,
