"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Hydroxy-Itraconazole|Plasma Unbound [µmol/l]","Organism|ArterialBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Itraconazole|Plasma Unbound [µmol/l]","Organism|ArterialBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Midazolam|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|BloodCells|Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|BloodCells|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Hydroxy-Itraconazole|Whole Blood [µmol/l]","Organism|ArterialBlood|Itraconazole|Whole Blood [µmol/l]","Organism|ArterialBlood|Midazolam|Whole Blood [µmol/l]","Organism|Kidney|Urine|Itraconazole|Fraction excreted to urine","Organism|Kidney|Urine|Midazolam|Fraction excreted to urine","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4.578526,14.08697,0,3.217746,13.95618,0,0,3.302639,0.019086,14.47143,0.2315429,0,11.48515,3.956139,0,7.148419,9.529243,0.0001480588,0.0008603836,0,0,0
0,6,0,2.934708,10.38249,0,2.272772,10.97716,0,0,2.367503,0.01368184,11.24966,0.1799946,0,9.576359,3.076543,0,5.755665,7.408297,0.0002348723,0.001180853,0,0,0
0,9,0,2.167207,8.29124,0,1.840474,8.668258,0,0,1.910817,0.01104264,8.833306,0.1413329,0,7.83709,2.415967,0,4.696165,5.817157,0.0002892674,0.001429286,0,0,0
0,12,0,1.747706,7.00342,0,1.59607,7.283509,0,0,1.643283,0.009496555,7.381439,0.118103,0,6.563551,2.019031,0,3.955809,4.861107,0.0003297193,0.001629088,0,0,0
0,15,0,1.490466,6.219526,0,1.435199,6.445985,0,0,1.466134,0.008472809,6.505708,0.1040913,0,5.671236,1.779599,0,3.442532,4.284437,0.0003630896,0.001799779,0,0,0
0,18,0,1.319027,5.735974,0,1.317853,5.925246,0,0,1.338322,0.007734184,5.962599,0.09540159,0,5.040823,1.631102,0,3.078497,3.926795,0.0003922432,0.001952744,0,0,0
0,21,0,1.197019,5.429396,0,1.226077,5.592495,0,0,1.240046,0.007166243,5.616637,0.08986619,0,4.581356,1.536505,0,2.810462,3.698975,0.0004185544,0.00209461,0,0,0
0,24,0,1.105281,5.228201,0,1.15072,5.372082,0,0,1.160698,0.006707692,5.388272,0.08621235,0,4.232414,1.47406,0,2.604405,3.548592,0.0004427689,0.002229306,0,0,0
0,27,0,1.032775,5.090065,0,1.086524,5.219777,0,0,1.094057,0.006322572,5.231136,0.08369818,0,3.955605,1.431089,0,2.438984,3.445114,0.0004653403,0.002359202,0,0,0
0,30,0,0.9730042,4.99027,0,1.03035,5.109109,0,0,1.036373,0.005989213,5.117494,0.0818799,0,3.726941,1.40001,0,2.30094,3.370276,0.0004865593,0.002485738,0,0,0
0,33,0,0.9220585,4.914297,0,0.9802419,5.024523,0,0,0.9853218,0.005694189,5.031054,0.08049686,0,3.531615,1.376369,0,2.18208,3.313352,0.0005066227,0.002609786,0,0,0
0,36,0,0.8774753,4.853417,0,0.9349096,4.956578,0,0,0.9393892,0.005428744,4.961945,0.07939111,0,3.360294,1.357466,0,2.077214,3.26784,0.0005256732,0.002731896,0,0,0
0,39,0,0.8376495,4.80224,0,0.8934623,4.899323,0,0,0.897547,0.005186937,4.903932,0.07846291,0,3.206904,1.341598,0,1.982945,3.229635,0.000543819,0.002852426,0,0,0
0,42,0,0.8014908,4.757309,0,0.855257,4.848992,0,0,0.8590659,0.004964554,4.853078,0.07764926,0,3.067352,1.327688,0,1.89696,3.196145,0.0005611469,0.002971619,0,0,0
0,45,0,0.7682933,4.716588,0,0.8198394,4.803403,0,0,0.823441,0.004758678,4.807108,0.07691373,0,2.938964,1.315112,0,1.817737,3.16587,0.0005777261,0.003089637,0,0,0
0,48,0,0.7376234,4.679058,0,0.7868925,4.761408,0,0,0.7903296,0.004567326,4.764824,0.07623719,0,2.820076,1.303545,0,1.74431,3.138023,0.0005936131,0.003206579,0,0,0
